model,weights,kv,budget,batch,weight_bytes,kv_bytes_per_token,max_length
GPT-2,int8,bf16,8 GB,1,164110848,36864,1024
GPT-2,int8,bf16,8 GB,4,164110848,36864,1024
GPT-2,int8,bf16,8 GB,16,164110848,36864,1024
GPT-2,int8,bf16,8 GB,64,164110848,36864,1024
GPT-2,int8,int8,256 MB,1,164110848,19008,1024
GPT-2,int8,int8,256 MB,4,164110848,19008,1024
GPT-2,int8,int8,256 MB,16,164110848,19008,343
GPT-2,int8,int8,256 MB,64,164110848,19008,85
GPT-2,int8,int8,512 MB,1,164110848,19008,1024
GPT-2,int8,int8,512 MB,4,164110848,19008,1024
GPT-2,int8,int8,512 MB,16,164110848,19008,1024
GPT-2,int8,int8,512 MB,64,164110848,19008,306
GPT-2,int8,int8,1 GB,1,164110848,19008,1024
GPT-2,int8,int8,1 GB,4,164110848,19008,1024
GPT-2,int8,int8,1 GB,16,164110848,19008,1024
GPT-2,int8,int8,1 GB,64,164110848,19008,747
GPT-2,int8,int8,2 GB,1,164110848,19008,1024
GPT-2,int8,int8,2 GB,4,164110848,19008,1024
GPT-2,int8,int8,2 GB,16,164110848,19008,1024
GPT-2,int8,int8,2 GB,64,164110848,19008,1024
GPT-2,int8,int8,4 GB,1,164110848,19008,1024
GPT-2,int8,int8,4 GB,4,164110848,19008,1024
GPT-2,int8,int8,4 GB,16,164110848,19008,1024
GPT-2,int8,int8,4 GB,64,164110848,19008,1024
GPT-2,int8,int8,8 GB,1,164110848,19008,1024
GPT-2,int8,int8,8 GB,4,164110848,19008,1024
GPT-2,int8,int8,8 GB,16,164110848,19008,1024
GPT-2,int8,int8,8 GB,64,164110848,19008,1024
GPT-2,int8,int4,256 MB,1,164110848,9792,1024
GPT-2,int8,int4,256 MB,4,164110848,9792,1024
GPT-2,int8,int4,256 MB,16,164110848,9792,665
GPT-2,int8,int4,256 MB,64,164110848,9792,166
GPT-2,int8,int4,512 MB,1,164110848,9792,1024
GPT-2,int8,int4,512 MB,4,164110848,9792,1024
GPT-2,int8,int4,512 MB,16,164110848,9792,1024
GPT-2,int8,int4,512 MB,64,164110848,9792,594
GPT-2,int8,int4,1 GB,1,164110848,9792,1024
GPT-2,int8,int4,1 GB,4,164110848,9792,1024
GPT-2,int8,int4,1 GB,16,164110848,9792,1024
GPT-2,int8,int4,1 GB,64,164110848,9792,1024
GPT-2,int8,int4,2 GB,1,164110848,9792,1024
GPT-2,int8,int4,2 GB,4,164110848,9792,1024
GPT-2,int8,int4,2 GB,16,164110848,9792,1024
GPT-2,int8,int4,2 GB,64,164110848,9792,1024
GPT-2,int8,int4,4 GB,1,164110848,9792,1024
GPT-2,int8,int4,4 GB,4,164110848,9792,1024
GPT-2,int8,int4,4 GB,16,164110848,9792,1024
GPT-2,int8,int4,4 GB,64,164110848,9792,1024
GPT-2,int8,int4,8 GB,1,164110848,9792,1024
GPT-2,int8,int4,8 GB,4,164110848,9792,1024
GPT-2,int8,int4,8 GB,16,164110848,9792,1024
GPT-2,int8,int4,8 GB,64,164110848,9792,1024
GPT-2,int4,bf16,256 MB,1,122804736,36864,1024
GPT-2,int4,bf16,256 MB,4,122804736,36864,987
GPT-2,int4,bf16,256 MB,16,122804736,36864,246
GPT-2,int4,bf16,256 MB,64,122804736,36864,61
GPT-2,int4,bf16,512 MB,1,122804736,36864,1024
GPT-2,int4,bf16,512 MB,4,122804736,36864,1024
GPT-2,int4,bf16,512 MB,16,122804736,36864,702
GPT-2,int4,bf16,512 MB,64,122804736,36864,175
GPT-2,int4,bf16,1 GB,1,122804736,36864,1024
GPT-2,int4,bf16,1 GB,4,122804736,36864,1024
GPT-2,int4,bf16,1 GB,16,122804736,36864,1024
GPT-2,int4,bf16,1 GB,64,122804736,36864,403
GPT-2,int4,bf16,2 GB,1,122804736,36864,1024
GPT-2,int4,bf16,2 GB,4,122804736,36864,1024
GPT-2,int4,bf16,2 GB,16,122804736,36864,1024
GPT-2,int4,bf16,2 GB,64,122804736,36864,858
GPT-2,int4,bf16,4 GB,1,122804736,36864,1024
GPT-2,int4,bf16,4 GB,4,122804736,36864,1024
GPT-2,int4,bf16,4 GB,16,122804736,36864,1024
GPT-2,int4,bf16,4 GB,64,122804736,36864,1024
GPT-2,int4,bf16,8 GB,1,122804736,36864,1024
GPT-2,int4,bf16,8 GB,4,122804736,36864,1024
GPT-2,int4,bf16,8 GB,16,122804736,36864,1024
GPT-2,int4,bf16,8 GB,64,122804736,36864,1024
GPT-2,int4,int8,256 MB,1,122804736,19008,1024
GPT-2,int4,int8,256 MB,4,122804736,19008,1024
GPT-2,int4,int8,256 MB,16,122804736,19008,478
GPT-2,int4,int8,256 MB,64,122804736,19008,119
GPT-2,int4,int8,512 MB,1,122804736,19008,1024
GPT-2,int4,int8,512 MB,4,122804736,19008,1024
