model,weights,kv,batch,length,bytes_per_step,bandwidth_gbs,step_ms,stream_tokens_per_s,total_tokens_per_s
GPT-2,bf16,bf16,1,128,253598208,4,63.400,15.8,15.8
GPT-2,bf16,bf16,1,128,253598208,8,31.700,31.5,31.5
GPT-2,bf16,bf16,1,128,253598208,16,15.850,63.1,63.1
GPT-2,bf16,bf16,1,128,253598208,32,7.925,126.2,126.2
GPT-2,bf16,bf16,1,128,253598208,64,3.962,252.4,252.4
GPT-2,bf16,bf16,1,128,253598208,128,1.981,504.7,504.7
GPT-2,bf16,bf16,1,128,253598208,256,0.991,1009.5,1009.5
GPT-2,bf16,bf16,1,128,253598208,512,0.495,2018.9,2018.9
GPT-2,bf16,bf16,1,256,258316800,4,64.579,15.5,15.5
GPT-2,bf16,bf16,1,256,258316800,8,32.290,31.0,31.0
GPT-2,bf16,bf16,1,256,258316800,16,16.145,61.9,61.9
GPT-2,bf16,bf16,1,256,258316800,32,8.072,123.9,123.9
GPT-2,bf16,bf16,1,256,258316800,64,4.036,247.8,247.8
GPT-2,bf16,bf16,1,256,258316800,128,2.018,495.5,495.5
GPT-2,bf16,bf16,1,256,258316800,256,1.009,991.0,991.0
GPT-2,bf16,bf16,1,256,258316800,512,0.505,1982.1,1982.1
GPT-2,bf16,bf16,1,512,267753984,4,66.938,14.9,14.9
GPT-2,bf16,bf16,1,512,267753984,8,33.469,29.9,29.9
GPT-2,bf16,bf16,1,512,267753984,16,16.735,59.8,59.8
GPT-2,bf16,bf16,1,512,267753984,32,8.367,119.5,119.5
GPT-2,bf16,bf16,1,512,267753984,64,4.184,239.0,239.0
GPT-2,bf16,bf16,1,512,267753984,128,2.092,478.1,478.1
GPT-2,bf16,bf16,1,512,267753984,256,1.046,956.1,956.1
GPT-2,bf16,bf16,1,512,267753984,512,0.523,1912.2,1912.2
GPT-2,bf16,bf16,1,1024,286628352,4,71.657,14.0,14.0
GPT-2,bf16,bf16,1,1024,286628352,8,35.829,27.9,27.9
GPT-2,bf16,bf16,1,1024,286628352,16,17.914,55.8,55.8
GPT-2,bf16,bf16,1,1024,286628352,32,8.957,111.6,111.6
GPT-2,bf16,bf16,1,1024,286628352,64,4.479,223.3,223.3
GPT-2,bf16,bf16,1,1024,286628352,128,2.239,446.6,446.6
GPT-2,bf16,bf16,1,1024,286628352,256,1.120,893.1,893.1
GPT-2,bf16,bf16,1,1024,286628352,512,0.560,1786.3,1786.3
GPT-2,bf16,bf16,4,128,267753984,4,66.938,14.9,59.8
GPT-2,bf16,bf16,4,128,267753984,8,33.469,29.9,119.5
GPT-2,bf16,bf16,4,128,267753984,16,16.735,59.8,239.0
GPT-2,bf16,bf16,4,128,267753984,32,8.367,119.5,478.1
GPT-2,bf16,bf16,4,128,267753984,64,4.184,239.0,956.1
GPT-2,bf16,bf16,4,128,267753984,128,2.092,478.1,1912.2
GPT-2,bf16,bf16,4,128,267753984,256,1.046,956.1,3824.4
GPT-2,bf16,bf16,4,128,267753984,512,0.523,1912.2,7648.8
GPT-2,bf16,bf16,4,256,286628352,4,71.657,14.0,55.8
GPT-2,bf16,bf16,4,256,286628352,8,35.829,27.9,111.6
GPT-2,bf16,bf16,4,256,286628352,16,17.914,55.8,223.3
GPT-2,bf16,bf16,4,256,286628352,32,8.957,111.6,446.6
GPT-2,bf16,bf16,4,256,286628352,64,4.479,223.3,893.1
GPT-2,bf16,bf16,4,256,286628352,128,2.239,446.6,1786.3
GPT-2,bf16,bf16,4,256,286628352,256,1.120,893.1,3572.6
GPT-2,bf16,bf16,4,256,286628352,512,0.560,1786.3,7145.1
GPT-2,bf16,bf16,4,512,324377088,4,81.094,12.3,49.3
GPT-2,bf16,bf16,4,512,324377088,8,40.547,24.7,98.7
GPT-2,bf16,bf16,4,512,324377088,16,20.274,49.3,197.3
GPT-2,bf16,bf16,4,512,324377088,32,10.137,98.7,394.6
GPT-2,bf16,bf16,4,512,324377088,64,5.068,197.3,789.2
GPT-2,bf16,bf16,4,512,324377088,128,2.534,394.6,1578.4
GPT-2,bf16,bf16,4,512,324377088,256,1.267,789.2,3156.8
GPT-2,bf16,bf16,4,512,324377088,512,0.634,1578.4,6313.6
GPT-2,bf16,bf16,4,1024,399874560,4,99.969,10.0,40.0
GPT-2,bf16,bf16,4,1024,399874560,8,49.984,20.0,80.0
GPT-2,bf16,bf16,4,1024,399874560,16,24.992,40.0,160.1
GPT-2,bf16,bf16,4,1024,399874560,32,12.496,80.0,320.1
GPT-2,bf16,bf16,4,1024,399874560,64,6.248,160.1,640.2
GPT-2,bf16,bf16,4,1024,399874560,128,3.124,320.1,1280.4
GPT-2,bf16,bf16,4,1024,399874560,256,1.562,640.2,2560.8
GPT-2,bf16,bf16,4,1024,399874560,512,0.781,1280.4,5121.6
GPT-2,bf16,bf16,16,128,324377088,4,81.094,12.3,197.3
GPT-2,bf16,bf16,16,128,324377088,8,40.547,24.7,394.6
GPT-2,bf16,bf16,16,128,324377088,16,20.274,49.3,789.2
GPT-2,bf16,bf16,16,128,324377088,32,10.137,98.7,1578.4
GPT-2,bf16,bf16,16,128,324377088,64,5.068,197.3,3156.8
GPT-2,bf16,bf16,16,128,324377088,128,2.534,394.6,6313.6
GPT-2,bf16,bf16,16,128,324377088,256,1.267,789.2,12627.3
GPT-2,bf16,bf16,16,128,324377088,512,0.634,1578.4,25254.6
GPT-2,bf16,bf16,16,256,399874560,4,99.969,10.0,160.1
GPT-2,bf16,bf16,16,256,399874560,8,49.984,20.0,320.1
GPT-2,bf16,bf16,16,256,399874560,16,24.992,40.0,640.2
GPT-2,bf16,bf16,16,256,399874560,32,12.496,80.0,1280.4
GPT-2,bf16,bf16,16,256,399874560,64,6.248,160.1,2560.8
GPT-2,bf16,bf16,16,256,399874560,128,3.124,320.1,5121.6
GPT-2,bf16,bf16,16,256,399874560,256,1.562,640.2,10243.2
GPT-2,bf16,bf16,16,256,399874560,512,0.781,1280.4,20486.4
GPT-2,bf16,bf16,16,512,550869504,4,137.717,7.3,116.2
GPT-2,bf16,bf16,16,512,550869504,8,68.859,14.5,232.4
GPT-2,bf16,bf16,16,512,550869504,16,34.429,29.0,464.7
GPT-2,bf16,bf16,16,512,550869504,32,17.215,58.1,929.4
GPT-2,bf16,bf16,16,512,550869504,64,8.607,116.2,1858.9
GPT-2,bf16,bf16,16,512,550869504,128,4.304,232.4,3717.8
GPT-2,bf16,bf16,16,512,550869504,256,2.152,464.7,7435.5
GPT-2,bf16,bf16,16,512,550869504,512,1.076,929.4,14871.0
GPT-2,bf16,bf16,16,1024,852859392,4,213.215,4.7,75.0
GPT-2,bf16,bf16,16,1024,852859392,8,106.607,9.4,150.1
GPT-2,bf16,bf16,16,1024,852859392,16,53.304,18.8,300.2
GPT-2,bf16,bf16,16,1024,852859392,32,26.652,37.5,600.3
GPT-2,bf16,bf16,16,1024,852859392,64,13.326,75.0,1200.7
GPT-2,bf16,bf16,16,1024,852859392,128,6.663,150.1,2401.3
GPT-2,bf16,bf16,16,1024,852859392,256,3.331,300.2,4802.7
GPT-2,bf16,bf16,16,1024,852859392,512,1.666,600.3,9605.3
GPT-2,bf16,bf16,64,128,550869504,4,137.717,7.3,464.7
GPT-2,bf16,bf16,64,128,550869504,8,68.859,14.5,929.4
GPT-2,bf16,bf16,64,128,550869504,16,34.429,29.0,1858.9
GPT-2,bf16,bf16,64,128,550869504,32,17.215,58.1,3717.8
GPT-2,bf16,bf16,64,128,550869504,64,8.607,116.2,7435.5
GPT-2,bf16,bf16,64,128,550869504,128,4.304,232.4,14871.0
GPT-2,bf16,bf16,64,128,550869504,256,2.152,464.7,29742.1
GPT-2,bf16,bf16,64,128,550869504,512,1.076,929.4,59484.1
GPT-2,bf16,bf16,64,256,852859392,4,213.215,4.7,300.2
GPT-2,bf16,bf16,64,256,852859392,8,106.607,9.4,600.3
GPT-2,bf16,bf16,64,256,852859392,16,53.304,18.8,1200.7
GPT-2,bf16,bf16,64,256,852859392,32,26.652,37.5,2401.3
GPT-2,bf16,bf16,64,256,852859392,64,13.326,75.0,4802.7
GPT-2,bf16,bf16,64,256,852859392,128,6.663,150.1,9605.3
GPT-2,bf16,bf16,64,256,852859392,256,3.331,300.2,19210.7
GPT-2,bf16,bf16,64,256,852859392,512,1.666,600.3,38421.3
GPT-2,bf16,bf16,64,512,1456839168,4,364.210,2.7,175.7
GPT-2,bf16,bf16,64,512,1456839168,8,182.105,5.5,351.4
GPT-2,bf16,bf16,64,512,1456839168,16,91.052,11.0,702.9
GPT-2,bf16,bf16,64,512,1456839168,32,45.526,22.0,1405.8
GPT-2,bf16,bf16,64,512,1456839168,64,22.763,43.9,2811.6
GPT-2,bf16,bf16,64,512,1456839168,128,11.382,87.9,5623.1
GPT-2,bf16,bf16,64,512,1456839168,256,5.691,175.7,11246.3
GPT-2,bf16,bf16,64,512,1456839168,512,2.845,351.4,22492.5
GPT-2,bf16,bf16,64,1024,2664798720,4,666.200,1.5,96.1
GPT-2,bf16,bf16,64,1024,2664798720,8,333.100,3.0,192.1
GPT-2,bf16,bf16,64,1024,2664798720,16,166.550,6.0,384.3
GPT-2,bf16,bf16,64,1024,2664798720,32,83.275,12.0,768.5
GPT-2,bf16,bf16,64,1024,2664798720,64,41.637,24.0,1537.1
GPT-2,bf16,bf16,64,1024,2664798720,128,20.819,48.0,3074.2
GPT-2,bf16,bf16,64,1024,2664798720,256,10.409,96.1,6148.3
GPT-2,bf16,bf16,64,1024,2664798720,512,5.205,192.1,12296.6
GPT-2,bf16,int8,1,128,251312640,4,62.828,15.9,15.9
GPT-2,bf16,int8,1,128,251312640,8,31.414,31.8,31.8
GPT-2,bf16,int8,1,128,251312640,16,15.707,63.7,63.7
GPT-2,bf16,int8,1,128,251312640,32,7.854,127.3,127.3
GPT-2,bf16,int8,1,128,251312640,64,3.927,254.7,254.7
GPT-2,bf16,int8,1,128,251312640,128,1.963,509.3,509.3
GPT-2,bf16,int8,1,128,251312640,256,0.982,1018.7,1018.7
GPT-2,bf16,int8,1,128,251312640,512,0.491,2037.3,2037.3
GPT-2,bf16,int8,1,256,253745664,4,63.436,15.8,15.8
GPT-2,bf16,int8,1,256,253745664,8,31.718,31.5,31.5
GPT-2,bf16,int8,1,256,253745664,16,15.859,63.1,63.1
GPT-2,bf16,int8,1,256,253745664,32,7.930,126.1,126.1
GPT-2,bf16,int8,1,256,253745664,64,3.965,252.2,252.2
GPT-2,bf16,int8,1,256,253745664,128,1.982,504.4,504.4
GPT-2,bf16,int8,1,256,253745664,256,0.991,1008.9,1008.9
GPT-2,bf16,int8,1,256,253745664,512,0.496,2017.8,2017.8
GPT-2,bf16,int8,1,512,258611712,4,64.653,15.5,15.5
GPT-2,bf16,int8,1,512,258611712,8,32.326,30.9,30.9
GPT-2,bf16,int8,1,512,258611712,16,16.163,61.9,61.9
GPT-2,bf16,int8,1,512,258611712,32,8.082,123.7,123.7
GPT-2,bf16,int8,1,512,258611712,64,4.041,247.5,247.5
GPT-2,bf16,int8,1,512,258611712,128,2.020,495.0,495.0
GPT-2,bf16,int8,1,512,258611712,256,1.010,989.9,989.9
GPT-2,bf16,int8,1,512,258611712,512,0.505,1979.8,1979.8
GPT-2,bf16,int8,1,1024,268343808,4,67.086,14.9,14.9
GPT-2,bf16,int8,1,1024,268343808,8,33.543,29.8,29.8
GPT-2,bf16,int8,1,1024,268343808,16,16.771,59.6,59.6
GPT-2,bf16,int8,1,1024,268343808,32,8.386,119.3,119.3
GPT-2,bf16,int8,1,1024,268343808,64,4.193,238.5,238.5
GPT-2,bf16,int8,1,1024,268343808,128,2.096,477.0,477.0
GPT-2,bf16,int8,1,1024,268343808,256,1.048,954.0,954.0
GPT-2,bf16,int8,1,1024,268343808,512,0.524,1908.0,1908.0
GPT-2,bf16,int8,4,128,258611712,4,64.653,15.5,61.9
GPT-2,bf16,int8,4,128,258611712,8,32.326,30.9,123.7
GPT-2,bf16,int8,4,128,258611712,16,16.163,61.9,247.5
GPT-2,bf16,int8,4,128,258611712,32,8.082,123.7,495.0
GPT-2,bf16,int8,4,128,258611712,64,4.041,247.5,989.9
GPT-2,bf16,int8,4,128,258611712,128,2.020,495.0,1979.8
GPT-2,bf16,int8,4,128,258611712,256,1.010,989.9,3959.6
GPT-2,bf16,int8,4,128,258611712,512,0.505,1979.8,7919.2
GPT-2,bf16,int8,4,256,268343808,4,67.086,14.9,59.6
GPT-2,bf16,int8,4,256,268343808,8,33.543,29.8,119.3
GPT-2,bf16,int8,4,256,268343808,16,16.771,59.6,238.5
GPT-2,bf16,int8,4,256,268343808,32,8.386,119.3,477.0
GPT-2,bf16,int8,4,256,268343808,64,4.193,238.5,954.0
GPT-2,bf16,int8,4,256,268343808,128,2.096,477.0,1908.0
GPT-2,bf16,int8,4,256,268343808,256,1.048,954.0,3816.0
GPT-2,bf16,int8,4,256,268343808,512,0.524,1908.0,7632.0
GPT-2,bf16,int8,4,512,287808000,4,71.952,13.9,55.6
GPT-2,bf16,int8,4,512,287808000,8,35.976,27.8,111.2
GPT-2,bf16,int8,4,512,287808000,16,17.988,55.6,222.4
GPT-2,bf16,int8,4,512,287808000,32,8.994,111.2,444.7
GPT-2,bf16,int8,4,512,287808000,64,4.497,222.4,889.5
GPT-2,bf16,int8,4,512,287808000,128,2.248,444.7,1779.0
GPT-2,bf16,int8,4,512,287808000,256,1.124,889.5,3557.9
GPT-2,bf16,int8,4,512,287808000,512,0.562,1779.0,7115.9
GPT-2,bf16,int8,4,1024,326736384,4,81.684,12.2,49.0
GPT-2,bf16,int8,4,1024,326736384,8,40.842,24.5,97.9
GPT-2,bf16,int8,4,1024,326736384,16,20.421,49.0,195.9
GPT-2,bf16,int8,4,1024,326736384,32,10.211,97.9,391.8
GPT-2,bf16,int8,4,1024,326736384,64,5.105,195.9,783.5
GPT-2,bf16,int8,4,1024,326736384,128,2.553,391.8,1567.0
GPT-2,bf16,int8,4,1024,326736384,256,1.276,783.5,3134.0
GPT-2,bf16,int8,4,1024,326736384,512,0.638,1567.0,6268.1
GPT-2,bf16,int8,16,128,287808000,4,71.952,13.9,222.4
GPT-2,bf16,int8,16,128,287808000,8,35.976,27.8,444.7
GPT-2,bf16,int8,16,128,287808000,16,17.988,55.6,889.5
GPT-2,bf16,int8,16,128,287808000,32,8.994,111.2,1779.0
GPT-2,bf16,int8,16,128,287808000,64,4.497,222.4,3557.9
GPT-2,bf16,int8,16,128,287808000,128,2.248,444.7,7115.9
GPT-2,bf16,int8,16,128,287808000,256,1.124,889.5,14231.7
GPT-2,bf16,int8,16,128,287808000,512,0.562,1779.0,28463.4
GPT-2,bf16,int8,16,256,326736384,4,81.684,12.2,195.9
GPT-2,bf16,int8,16,256,326736384,8,40.842,24.5,391.8
GPT-2,bf16,int8,16,256,326736384,16,20.421,49.0,783.5
GPT-2,bf16,int8,16,256,326736384,32,10.211,97.9,1567.0
GPT-2,bf16,int8,16,256,326736384,64,5.105,195.9,3134.0
GPT-2,bf16,int8,16,256,326736384,128,2.553,391.8,6268.1
GPT-2,bf16,int8,16,256,326736384,256,1.276,783.5,12536.1
GPT-2,bf16,int8,16,256,326736384,512,0.638,1567.0,25072.2
GPT-2,bf16,int8,16,512,404593152,4,101.148,9.9,158.2
GPT-2,bf16,int8,16,512,404593152,8,50.574,19.8,316.4
GPT-2,bf16,int8,16,512,404593152,16,25.287,39.5,632.7
GPT-2,bf16,int8,16,512,404593152,32,12.644,79.1,1265.5
GPT-2,bf16,int8,16,512,404593152,64,6.322,158.2,2530.9
GPT-2,bf16,int8,16,512,404593152,128,3.161,316.4,5061.9
GPT-2,bf16,int8,16,512,404593152,256,1.580,632.7,10123.8
GPT-2,bf16,int8,16,512,404593152,512,0.790,1265.5,20247.5
GPT-2,bf16,int8,16,1024,560306688,4,140.077,7.1,114.2
GPT-2,bf16,int8,16,1024,560306688,8,70.038,14.3,228.4
GPT-2,bf16,int8,16,1024,560306688,16,35.019,28.6,456.9
GPT-2,bf16,int8,16,1024,560306688,32,17.510,57.1,913.8
GPT-2,bf16,int8,16,1024,560306688,64,8.755,114.2,1827.6
GPT-2,bf16,int8,16,1024,560306688,128,4.377,228.4,3655.1
GPT-2,bf16,int8,16,1024,560306688,256,2.189,456.9,7310.3
GPT-2,bf16,int8,16,1024,560306688,512,1.094,913.8,14620.6
GPT-2,bf16,int8,64,128,404593152,4,101.148,9.9,632.7
GPT-2,bf16,int8,64,128,404593152,8,50.574,19.8,1265.5
GPT-2,bf16,int8,64,128,404593152,16,25.287,39.5,2530.9
GPT-2,bf16,int8,64,128,404593152,32,12.644,79.1,5061.9
GPT-2,bf16,int8,64,128,404593152,64,6.322,158.2,10123.8
GPT-2,bf16,int8,64,128,404593152,128,3.161,316.4,20247.5
GPT-2,bf16,int8,64,128,404593152,256,1.580,632.7,40495.0
GPT-2,bf16,int8,64,128,404593152,512,0.790,1265.5,80990.0
GPT-2,bf16,int8,64,256,560306688,4,140.077,7.1,456.9
GPT-2,bf16,int8,64,256,560306688,8,70.038,14.3,913.8
GPT-2,bf16,int8,64,256,560306688,16,35.019,28.6,1827.6
GPT-2,bf16,int8,64,256,560306688,32,17.510,57.1,3655.1
GPT-2,bf16,int8,64,256,560306688,64,8.755,114.2,7310.3
GPT-2,bf16,int8,64,256,560306688,128,4.377,228.4,14620.6
GPT-2,bf16,int8,64,256,560306688,256,2.189,456.9,29241.1
GPT-2,bf16,int8,64,256,560306688,512,1.094,913.8,58482.3
GPT-2,bf16,int8,64,512,871733760,4,217.933,4.6,293.7
GPT-2,bf16,int8,64,512,871733760,8,108.967,9.2,587.3
GPT-2,bf16,int8,64,512,871733760,16,54.483,18.4,1174.7
GPT-2,bf16,int8,64,512,871733760,32,27.242,36.7,2349.3
GPT-2,bf16,int8,64,512,871733760,64,13.621,73.4,4698.7
GPT-2,bf16,int8,64,512,871733760,128,6.810,146.8,9397.4
GPT-2,bf16,int8,64,512,871733760,256,3.405,293.7,18794.7
GPT-2,bf16,int8,64,512,871733760,512,1.703,587.3,37589.5
GPT-2,bf16,int8,64,1024,1494587904,4,373.647,2.7,171.3
GPT-2,bf16,int8,64,1024,1494587904,8,186.823,5.4,342.6
GPT-2,bf16,int8,64,1024,1494587904,16,93.412,10.7,685.1
GPT-2,bf16,int8,64,1024,1494587904,32,46.706,21.4,1370.3
GPT-2,bf16,int8,64,1024,1494587904,64,23.353,42.8,2740.6
GPT-2,bf16,int8,64,1024,1494587904,128,11.676,85.6,5481.1
GPT-2,bf16,int8,64,1024,1494587904,256,5.838,171.3,10962.2
GPT-2,bf16,int8,64,1024,1494587904,512,2.919,342.6,21924.4
GPT-2,bf16,int4,1,128,250132992,4,62.533,16.0,16.0
GPT-2,bf16,int4,1,128,250132992,8,31.267,32.0,32.0
GPT-2,bf16,int4,1,128,250132992,16,15.633,64.0,64.0
GPT-2,bf16,int4,1,128,250132992,32,7.817,127.9,127.9
GPT-2,bf16,int4,1,128,250132992,64,3.908,255.9,255.9
GPT-2,bf16,int4,1,128,250132992,128,1.954,511.7,511.7
GPT-2,bf16,int4,1,128,250132992,256,0.977,1023.5,1023.5
GPT-2,bf16,int4,1,128,250132992,512,0.489,2046.9,2046.9
GPT-2,bf16,int4,1,256,251386368,4,62.847,15.9,15.9
GPT-2,bf16,int4,1,256,251386368,8,31.423,31.8,31.8
GPT-2,bf16,int4,1,256,251386368,16,15.712,63.6,63.6
GPT-2,bf16,int4,1,256,251386368,32,7.856,127.3,127.3
GPT-2,bf16,int4,1,256,251386368,64,3.928,254.6,254.6
GPT-2,bf16,int4,1,256,251386368,128,1.964,509.2,509.2
GPT-2,bf16,int4,1,256,251386368,256,0.982,1018.4,1018.4
GPT-2,bf16,int4,1,256,251386368,512,0.491,2036.7,2036.7
GPT-2,bf16,int4,1,512,253893120,4,63.473,15.8,15.8
GPT-2,bf16,int4,1,512,253893120,8,31.737,31.5,31.5
GPT-2,bf16,int4,1,512,253893120,16,15.868,63.0,63.0
GPT-2,bf16,int4,1,512,253893120,32,7.934,126.0,126.0
GPT-2,bf16,int4,1,512,253893120,64,3.967,252.1,252.1
GPT-2,bf16,int4,1,512,253893120,128,1.984,504.1,504.1
GPT-2,bf16,int4,1,512,253893120,256,0.992,1008.3,1008.3
GPT-2,bf16,int4,1,512,253893120,512,0.496,2016.6,2016.6
GPT-2,bf16,int4,1,1024,258906624,4,64.727,15.4,15.4
GPT-2,bf16,int4,1,1024,258906624,8,32.363,30.9,30.9
GPT-2,bf16,int4,1,1024,258906624,16,16.182,61.8,61.8
GPT-2,bf16,int4,1,1024,258906624,32,8.091,123.6,123.6
GPT-2,bf16,int4,1,1024,258906624,64,4.045,247.2,247.2
GPT-2,bf16,int4,1,1024,258906624,128,2.023,494.4,494.4
GPT-2,bf16,int4,1,1024,258906624,256,1.011,988.8,988.8
GPT-2,bf16,int4,1,1024,258906624,512,0.506,1977.5,1977.5
GPT-2,bf16,int4,4,128,253893120,4,63.473,15.8,63.0
GPT-2,bf16,int4,4,128,253893120,8,31.737,31.5,126.0
GPT-2,bf16,int4,4,128,253893120,16,15.868,63.0,252.1
GPT-2,bf16,int4,4,128,253893120,32,7.934,126.0,504.1
GPT-2,bf16,int4,4,128,253893120,64,3.967,252.1,1008.3
GPT-2,bf16,int4,4,128,253893120,128,1.984,504.1,2016.6
GPT-2,bf16,int4,4,128,253893120,256,0.992,1008.3,4033.2
GPT-2,bf16,int4,4,128,253893120,512,0.496,2016.6,8066.4
GPT-2,bf16,int4,4,256,258906624,4,64.727,15.4,61.8
GPT-2,bf16,int4,4,256,258906624,8,32.363,30.9,123.6
GPT-2,bf16,int4,4,256,258906624,16,16.182,61.8,247.2
GPT-2,bf16,int4,4,256,258906624,32,8.091,123.6,494.4
GPT-2,bf16,int4,4,256,258906624,64,4.045,247.2,988.8
GPT-2,bf16,int4,4,256,258906624,128,2.023,494.4,1977.5
GPT-2,bf16,int4,4,256,258906624,256,1.011,988.8,3955.1
GPT-2,bf16,int4,4,256,258906624,512,0.506,1977.5,7910.2
GPT-2,bf16,int4,4,512,268933632,4,67.233,14.9,59.5
GPT-2,bf16,int4,4,512,268933632,8,33.617,29.7,119.0
GPT-2,bf16,int4,4,512,268933632,16,16.808,59.5,238.0
GPT-2,bf16,int4,4,512,268933632,32,8.404,119.0,476.0
GPT-2,bf16,int4,4,512,268933632,64,4.202,238.0,951.9
GPT-2,bf16,int4,4,512,268933632,128,2.101,476.0,1903.8
GPT-2,bf16,int4,4,512,268933632,256,1.051,951.9,3807.6
GPT-2,bf16,int4,4,512,268933632,512,0.525,1903.8,7615.3
GPT-2,bf16,int4,4,1024,288987648,4,72.247,13.8,55.4
GPT-2,bf16,int4,4,1024,288987648,8,36.123,27.7,110.7
GPT-2,bf16,int4,4,1024,288987648,16,18.062,55.4,221.5
GPT-2,bf16,int4,4,1024,288987648,32,9.031,110.7,442.9
GPT-2,bf16,int4,4,1024,288987648,64,4.515,221.5,885.9
GPT-2,bf16,int4,4,1024,288987648,128,2.258,442.9,1771.7
GPT-2,bf16,int4,4,1024,288987648,256,1.129,885.9,3543.4
GPT-2,bf16,int4,4,1024,288987648,512,0.564,1771.7,7086.8
GPT-2,bf16,int4,16,128,268933632,4,67.233,14.9,238.0
GPT-2,bf16,int4,16,128,268933632,8,33.617,29.7,476.0
GPT-2,bf16,int4,16,128,268933632,16,16.808,59.5,951.9
GPT-2,bf16,int4,16,128,268933632,32,8.404,119.0,1903.8
GPT-2,bf16,int4,16,128,268933632,64,4.202,238.0,3807.6
GPT-2,bf16,int4,16,128,268933632,128,2.101,476.0,7615.3
GPT-2,bf16,int4,16,128,268933632,256,1.051,951.9,15230.5
GPT-2,bf16,int4,16,128,268933632,512,0.525,1903.8,30461.0
GPT-2,bf16,int4,16,256,288987648,4,72.247,13.8,221.5
GPT-2,bf16,int4,16,256,288987648,8,36.123,27.7,442.9
GPT-2,bf16,int4,16,256,288987648,16,18.062,55.4,885.9
GPT-2,bf16,int4,16,256,288987648,32,9.031,110.7,1771.7
GPT-2,bf16,int4,16,256,288987648,64,4.515,221.5,3543.4
GPT-2,bf16,int4,16,256,288987648,128,2.258,442.9,7086.8
GPT-2,bf16,int4,16,256,288987648,256,1.129,885.9,14173.6
GPT-2,bf16,int4,16,256,288987648,512,0.564,1771.7,28347.2
GPT-2,bf16,int4,16,512,329095680,4,82.274,12.2,194.5
GPT-2,bf16,int4,16,512,329095680,8,41.137,24.3,388.9
GPT-2,bf16,int4,16,512,329095680,16,20.568,48.6,777.9
GPT-2,bf16,int4,16,512,329095680,32,10.284,97.2,1555.8
GPT-2,bf16,int4,16,512,329095680,64,5.142,194.5,3111.6
GPT-2,bf16,int4,16,512,329095680,128,2.571,388.9,6223.1
GPT-2,bf16,int4,16,512,329095680,256,1.286,777.9,12446.2
GPT-2,bf16,int4,16,512,329095680,512,0.643,1555.8,24892.5
GPT-2,bf16,int4,16,1024,409311744,4,102.328,9.8,156.4
GPT-2,bf16,int4,16,1024,409311744,8,51.164,19.5,312.7
GPT-2,bf16,int4,16,1024,409311744,16,25.582,39.1,625.4
GPT-2,bf16,int4,16,1024,409311744,32,12.791,78.2,1250.9
GPT-2,bf16,int4,16,1024,409311744,64,6.395,156.4,2501.8
GPT-2,bf16,int4,16,1024,409311744,128,3.198,312.7,5003.5
GPT-2,bf16,int4,16,1024,409311744,256,1.599,625.4,10007.0
GPT-2,bf16,int4,16,1024,409311744,512,0.799,1250.9,20014.1
GPT-2,bf16,int4,64,128,329095680,4,82.274,12.2,777.9
GPT-2,bf16,int4,64,128,329095680,8,41.137,24.3,1555.8
GPT-2,bf16,int4,64,128,329095680,16,20.568,48.6,3111.6
GPT-2,bf16,int4,64,128,329095680,32,10.284,97.2,6223.1
GPT-2,bf16,int4,64,128,329095680,64,5.142,194.5,12446.2
GPT-2,bf16,int4,64,128,329095680,128,2.571,388.9,24892.5
GPT-2,bf16,int4,64,128,329095680,256,1.286,777.9,49784.9
GPT-2,bf16,int4,64,128,329095680,512,0.643,1555.8,99569.8
GPT-2,bf16,int4,64,256,409311744,4,102.328,9.8,625.4
GPT-2,bf16,int4,64,256,409311744,8,51.164,19.5,1250.9
GPT-2,bf16,int4,64,256,409311744,16,25.582,39.1,2501.8
GPT-2,bf16,int4,64,256,409311744,32,12.791,78.2,5003.5
GPT-2,bf16,int4,64,256,409311744,64,6.395,156.4,10007.0
GPT-2,bf16,int4,64,256,409311744,128,3.198,312.7,20014.1
GPT-2,bf16,int4,64,256,409311744,256,1.599,625.4,40028.2
GPT-2,bf16,int4,64,256,409311744,512,0.799,1250.9,80056.3
GPT-2,bf16,int4,64,512,569743872,4,142.436,7.0,449.3
GPT-2,bf16,int4,64,512,569743872,8,71.218,14.0,898.6
GPT-2,bf16,int4,64,512,569743872,16,35.609,28.1,1797.3
GPT-2,bf16,int4,64,512,569743872,32,17.804,56.2,3594.6
GPT-2,bf16,int4,64,512,569743872,64,8.902,112.3,7189.2
GPT-2,bf16,int4,64,512,569743872,128,4.451,224.7,14378.4
GPT-2,bf16,int4,64,512,569743872,256,2.226,449.3,28756.8
GPT-2,bf16,int4,64,512,569743872,512,1.113,898.6,57513.6
GPT-2,bf16,int4,64,1024,890608128,4,222.652,4.5,287.4
GPT-2,bf16,int4,64,1024,890608128,8,111.326,9.0,574.9
GPT-2,bf16,int4,64,1024,890608128,16,55.663,18.0,1149.8
GPT-2,bf16,int4,64,1024,890608128,32,27.832,35.9,2299.6
GPT-2,bf16,int4,64,1024,890608128,64,13.916,71.9,4599.1
GPT-2,bf16,int4,64,1024,890608128,128,6.958,143.7,9198.2
GPT-2,bf16,int4,64,1024,890608128,256,3.479,287.4,18396.4
GPT-2,bf16,int4,64,1024,890608128,512,1.739,574.9,36792.8
