model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
GPT-2,prefill,1,1.0,4,1 MB,68.5781,288.1989,288.1989
GPT-2,prefill,1,1.0,8,1 MB,68.5781,144.0995,144.0995
GPT-2,prefill,1,1.0,16,1 MB,68.5781,72.0497,96.7269
GPT-2,prefill,1,1.0,32,1 MB,68.5781,36.0249,80.0089
GPT-2,prefill,1,1.0,64,1 MB,68.5781,18.0124,73.5704
GPT-2,prefill,1,1.0,128,1 MB,68.5781,9.0062,70.8654
GPT-2,prefill,1,1.0,256,1 MB,68.5781,4.5031,69.5129
GPT-2,prefill,1,1.0,512,1 MB,68.5781,2.2516,68.8591
GPT-2,prefill,1,2.0,4,1 MB,34.2891,288.1989,288.1989
GPT-2,prefill,1,2.0,8,1 MB,34.2891,144.0995,144.0995
GPT-2,prefill,1,2.0,16,1 MB,34.2891,72.0497,72.0497
GPT-2,prefill,1,2.0,32,1 MB,34.2891,36.0249,48.3635
GPT-2,prefill,1,2.0,64,1 MB,34.2891,18.0124,40.0044
GPT-2,prefill,1,2.0,128,1 MB,34.2891,9.0062,36.7852
GPT-2,prefill,1,2.0,256,1 MB,34.2891,4.5031,35.4327
GPT-2,prefill,1,2.0,512,1 MB,34.2891,2.2516,34.7565
GPT-2,prefill,1,4.0,4,1 MB,17.1445,288.1989,288.1989
GPT-2,prefill,1,4.0,8,1 MB,17.1445,144.0995,144.0995
GPT-2,prefill,1,4.0,16,1 MB,17.1445,72.0497,72.0497
GPT-2,prefill,1,4.0,32,1 MB,17.1445,36.0249,36.0249
GPT-2,prefill,1,4.0,64,1 MB,17.1445,18.0124,24.1817
GPT-2,prefill,1,4.0,128,1 MB,17.1445,9.0062,20.0022
GPT-2,prefill,1,4.0,256,1 MB,17.1445,4.5031,18.3926
GPT-2,prefill,1,4.0,512,1 MB,17.1445,2.2516,17.7164
GPT-2,prefill,1,8.0,4,1 MB,8.5723,288.1989,288.1989
GPT-2,prefill,1,8.0,8,1 MB,8.5723,144.0995,144.0995
GPT-2,prefill,1,8.0,16,1 MB,8.5723,72.0497,72.0497
GPT-2,prefill,1,8.0,32,1 MB,8.5723,36.0249,36.0249
GPT-2,prefill,1,8.0,64,1 MB,8.5723,18.0124,18.0124
GPT-2,prefill,1,8.0,128,1 MB,8.5723,9.0062,12.0909
GPT-2,prefill,1,8.0,256,1 MB,8.5723,4.5031,10.0011
GPT-2,prefill,1,8.0,512,1 MB,8.5723,2.2516,9.1963
GPT-2,prefill,1,16.0,4,1 MB,4.2861,288.1989,288.1989
GPT-2,prefill,1,16.0,8,1 MB,4.2861,144.0995,144.0995
GPT-2,prefill,1,16.0,16,1 MB,4.2861,72.0497,72.0497
GPT-2,prefill,1,16.0,32,1 MB,4.2861,36.0249,36.0249
GPT-2,prefill,1,16.0,64,1 MB,4.2861,18.0124,18.0124
GPT-2,prefill,1,16.0,128,1 MB,4.2861,9.0062,9.0062
GPT-2,prefill,1,16.0,256,1 MB,4.2861,4.5031,6.0454
GPT-2,prefill,1,16.0,512,1 MB,4.2861,2.2516,5.0006
GPT-2,prefill,1,32.0,4,1 MB,2.1431,288.1989,288.1989
GPT-2,prefill,1,32.0,8,1 MB,2.1431,144.0995,144.0995
GPT-2,prefill,1,32.0,16,1 MB,2.1431,72.0497,72.0497
GPT-2,prefill,1,32.0,32,1 MB,2.1431,36.0249,36.0249
GPT-2,prefill,1,32.0,64,1 MB,2.1431,18.0124,18.0124
GPT-2,prefill,1,32.0,128,1 MB,2.1431,9.0062,9.0062
GPT-2,prefill,1,32.0,256,1 MB,2.1431,4.5031,4.5031
GPT-2,prefill,1,32.0,512,1 MB,2.1431,2.2516,3.0227
GPT-2,prefill,1,64.0,4,1 MB,1.0715,288.1989,288.1989
GPT-2,prefill,1,64.0,8,1 MB,1.0715,144.0995,144.0995
GPT-2,prefill,1,64.0,16,1 MB,1.0715,72.0497,72.0497
GPT-2,prefill,1,64.0,32,1 MB,1.0715,36.0249,36.0249
GPT-2,prefill,1,64.0,64,1 MB,1.0715,18.0124,18.0124
GPT-2,prefill,1,64.0,128,1 MB,1.0715,9.0062,9.0062
GPT-2,prefill,1,64.0,256,1 MB,1.0715,4.5031,4.5031
GPT-2,prefill,1,64.0,512,1 MB,1.0715,2.2516,2.2516
GPT-2,prefill,1,0.5,4,4 MB,137.1562,260.0840,260.3260
GPT-2,prefill,1,0.5,8,4 MB,137.1562,130.0420,193.4539
GPT-2,prefill,1,0.5,16,4 MB,137.1562,65.0210,160.0178
GPT-2,prefill,1,0.5,32,4 MB,137.1562,32.5105,147.1407
GPT-2,prefill,1,0.5,64,4 MB,137.1562,16.2552,141.7308
GPT-2,prefill,1,0.5,128,4 MB,137.1562,8.1276,139.0259
GPT-2,prefill,1,0.5,256,4 MB,137.1562,4.0638,137.7182
GPT-2,prefill,1,0.5,512,4 MB,137.1562,2.0319,137.3131
GPT-2,prefill,1,1.0,4,4 MB,68.5781,260.0840,260.0840
GPT-2,prefill,1,1.0,8,4 MB,68.5781,130.0420,130.1630
GPT-2,prefill,1,1.0,16,4 MB,68.5781,65.0210,96.7269
GPT-2,prefill,1,1.0,32,4 MB,68.5781,32.5105,80.0089
GPT-2,prefill,1,1.0,64,4 MB,68.5781,16.2552,73.5704
GPT-2,prefill,1,1.0,128,4 MB,68.5781,8.1276,70.8654
GPT-2,prefill,1,1.0,256,4 MB,68.5781,4.0638,69.5129
GPT-2,prefill,1,1.0,512,4 MB,68.5781,2.0319,68.8591
GPT-2,prefill,1,2.0,4,4 MB,34.2891,260.0840,260.0840
GPT-2,prefill,1,2.0,8,4 MB,34.2891,130.0420,130.0420
GPT-2,prefill,1,2.0,16,4 MB,34.2891,65.0210,65.0815
GPT-2,prefill,1,2.0,32,4 MB,34.2891,32.5105,48.3635
GPT-2,prefill,1,2.0,64,4 MB,34.2891,16.2552,40.0044
GPT-2,prefill,1,2.0,128,4 MB,34.2891,8.1276,36.7852
GPT-2,prefill,1,2.0,256,4 MB,34.2891,4.0638,35.4327
GPT-2,prefill,1,2.0,512,4 MB,34.2891,2.0319,34.7565
GPT-2,prefill,1,4.0,4,4 MB,17.1445,260.0840,260.0840
GPT-2,prefill,1,4.0,8,4 MB,17.1445,130.0420,130.0420
GPT-2,prefill,1,4.0,16,4 MB,17.1445,65.0210,65.0210
GPT-2,prefill,1,4.0,32,4 MB,17.1445,32.5105,32.5407
GPT-2,prefill,1,4.0,64,4 MB,17.1445,16.2552,24.1817
GPT-2,prefill,1,4.0,128,4 MB,17.1445,8.1276,20.0022
GPT-2,prefill,1,4.0,256,4 MB,17.1445,4.0638,18.3926
GPT-2,prefill,1,4.0,512,4 MB,17.1445,2.0319,17.7164
GPT-2,prefill,1,8.0,4,4 MB,8.5723,260.0840,260.0840
GPT-2,prefill,1,8.0,8,4 MB,8.5723,130.0420,130.0420
GPT-2,prefill,1,8.0,16,4 MB,8.5723,65.0210,65.0210
GPT-2,prefill,1,8.0,32,4 MB,8.5723,32.5105,32.5105
GPT-2,prefill,1,8.0,64,4 MB,8.5723,16.2552,16.2704
GPT-2,prefill,1,8.0,128,4 MB,8.5723,8.1276,12.0909
GPT-2,prefill,1,8.0,256,4 MB,8.5723,4.0638,10.0011
GPT-2,prefill,1,8.0,512,4 MB,8.5723,2.0319,9.1963
GPT-2,prefill,1,16.0,4,4 MB,4.2861,260.0840,260.0840
GPT-2,prefill,1,16.0,8,4 MB,4.2861,130.0420,130.0420
GPT-2,prefill,1,16.0,16,4 MB,4.2861,65.0210,65.0210
