model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
SmolLM2-135M,prefill,1,0.5,8,1 MB,156.9973,207.3240,252.1833
SmolLM2-135M,prefill,1,0.5,16,1 MB,156.9973,103.6620,194.9453
SmolLM2-135M,prefill,1,0.5,32,1 MB,156.9973,51.8310,173.5281
SmolLM2-135M,prefill,1,0.5,64,1 MB,156.9973,25.9155,164.7482
SmolLM2-135M,prefill,1,0.5,128,1 MB,156.9973,12.9577,160.3583
SmolLM2-135M,prefill,1,0.5,256,1 MB,156.9973,6.4789,158.1633
SmolLM2-135M,prefill,1,0.5,512,1 MB,156.9973,3.2394,157.2241
SmolLM2-135M,prefill,1,1.0,4,1 MB,78.4987,414.6480,414.6480
SmolLM2-135M,prefill,1,1.0,8,1 MB,78.4987,207.3240,207.3240
SmolLM2-135M,prefill,1,1.0,16,1 MB,78.4987,103.6620,126.0916
SmolLM2-135M,prefill,1,1.0,32,1 MB,78.4987,51.8310,97.4727
SmolLM2-135M,prefill,1,1.0,64,1 MB,78.4987,25.9155,86.7641
SmolLM2-135M,prefill,1,1.0,128,1 MB,78.4987,12.9577,82.3741
SmolLM2-135M,prefill,1,1.0,256,1 MB,78.4987,6.4789,80.1791
SmolLM2-135M,prefill,1,1.0,512,1 MB,78.4987,3.2394,79.0817
SmolLM2-135M,prefill,1,2.0,4,1 MB,39.2493,414.6480,414.6480
SmolLM2-135M,prefill,1,2.0,8,1 MB,39.2493,207.3240,207.3240
SmolLM2-135M,prefill,1,2.0,16,1 MB,39.2493,103.6620,103.6620
SmolLM2-135M,prefill,1,2.0,32,1 MB,39.2493,51.8310,63.0458
SmolLM2-135M,prefill,1,2.0,64,1 MB,39.2493,25.9155,48.7363
SmolLM2-135M,prefill,1,2.0,128,1 MB,39.2493,12.9577,43.3820
SmolLM2-135M,prefill,1,2.0,256,1 MB,39.2493,6.4789,41.1871
SmolLM2-135M,prefill,1,2.0,512,1 MB,39.2493,3.2394,40.0896
SmolLM2-135M,prefill,1,4.0,4,1 MB,19.6247,414.6480,414.6480
SmolLM2-135M,prefill,1,4.0,8,1 MB,19.6247,207.3240,207.3240
SmolLM2-135M,prefill,1,4.0,16,1 MB,19.6247,103.6620,103.6620
SmolLM2-135M,prefill,1,4.0,32,1 MB,19.6247,51.8310,51.8310
SmolLM2-135M,prefill,1,4.0,64,1 MB,19.6247,25.9155,31.5229
SmolLM2-135M,prefill,1,4.0,128,1 MB,19.6247,12.9577,24.3682
SmolLM2-135M,prefill,1,4.0,256,1 MB,19.6247,6.4789,21.6910
SmolLM2-135M,prefill,1,4.0,512,1 MB,19.6247,3.2394,20.5935
SmolLM2-135M,prefill,1,8.0,4,1 MB,9.8123,414.6480,414.6480
SmolLM2-135M,prefill,1,8.0,8,1 MB,9.8123,207.3240,207.3240
SmolLM2-135M,prefill,1,8.0,16,1 MB,9.8123,103.6620,103.6620
SmolLM2-135M,prefill,1,8.0,32,1 MB,9.8123,51.8310,51.8310
SmolLM2-135M,prefill,1,8.0,64,1 MB,9.8123,25.9155,25.9155
SmolLM2-135M,prefill,1,8.0,128,1 MB,9.8123,12.9577,15.7615
SmolLM2-135M,prefill,1,8.0,256,1 MB,9.8123,6.4789,12.1841
SmolLM2-135M,prefill,1,8.0,512,1 MB,9.8123,3.2394,10.8455
SmolLM2-135M,prefill,1,16.0,4,1 MB,4.9062,414.6480,414.6480
SmolLM2-135M,prefill,1,16.0,8,1 MB,4.9062,207.3240,207.3240
SmolLM2-135M,prefill,1,16.0,16,1 MB,4.9062,103.6620,103.6620
SmolLM2-135M,prefill,1,16.0,32,1 MB,4.9062,51.8310,51.8310
SmolLM2-135M,prefill,1,16.0,64,1 MB,4.9062,25.9155,25.9155
SmolLM2-135M,prefill,1,16.0,128,1 MB,4.9062,12.9577,12.9577
SmolLM2-135M,prefill,1,16.0,256,1 MB,4.9062,6.4789,7.8807
SmolLM2-135M,prefill,1,16.0,512,1 MB,4.9062,3.2394,6.0920
SmolLM2-135M,prefill,1,32.0,4,1 MB,2.4531,414.6480,414.6480
SmolLM2-135M,prefill,1,32.0,8,1 MB,2.4531,207.3240,207.3240
SmolLM2-135M,prefill,1,32.0,16,1 MB,2.4531,103.6620,103.6620
SmolLM2-135M,prefill,1,32.0,32,1 MB,2.4531,51.8310,51.8310
SmolLM2-135M,prefill,1,32.0,64,1 MB,2.4531,25.9155,25.9155
SmolLM2-135M,prefill,1,32.0,128,1 MB,2.4531,12.9577,12.9577
SmolLM2-135M,prefill,1,32.0,256,1 MB,2.4531,6.4789,6.4789
SmolLM2-135M,prefill,1,32.0,512,1 MB,2.4531,3.2394,3.9404
SmolLM2-135M,prefill,1,64.0,4,1 MB,1.2265,414.6480,414.6480
SmolLM2-135M,prefill,1,64.0,8,1 MB,1.2265,207.3240,207.3240
SmolLM2-135M,prefill,1,64.0,16,1 MB,1.2265,103.6620,103.6620
SmolLM2-135M,prefill,1,64.0,32,1 MB,1.2265,51.8310,51.8310
SmolLM2-135M,prefill,1,64.0,64,1 MB,1.2265,25.9155,25.9155
SmolLM2-135M,prefill,1,64.0,128,1 MB,1.2265,12.9577,12.9577
SmolLM2-135M,prefill,1,64.0,256,1 MB,1.2265,6.4789,6.4789
SmolLM2-135M,prefill,1,64.0,512,1 MB,1.2265,3.2394,3.2394
SmolLM2-135M,prefill,1,0.5,4,4 MB,156.9973,400.7871,400.7871
SmolLM2-135M,prefill,1,0.5,8,4 MB,156.9973,200.3936,252.1833
SmolLM2-135M,prefill,1,0.5,16,4 MB,156.9973,100.1968,194.9453
SmolLM2-135M,prefill,1,0.5,32,4 MB,156.9973,50.0984,173.5281
SmolLM2-135M,prefill,1,0.5,64,4 MB,156.9973,25.0492,164.7482
SmolLM2-135M,prefill,1,0.5,128,4 MB,156.9973,12.5246,160.3583
SmolLM2-135M,prefill,1,0.5,256,4 MB,156.9973,6.2623,158.1633
SmolLM2-135M,prefill,1,0.5,512,4 MB,156.9973,3.1311,157.2241
SmolLM2-135M,prefill,1,1.0,4,4 MB,78.4987,400.7871,400.7871
SmolLM2-135M,prefill,1,1.0,8,4 MB,78.4987,200.3936,200.3936
SmolLM2-135M,prefill,1,1.0,16,4 MB,78.4987,100.1968,126.0916
SmolLM2-135M,prefill,1,1.0,32,4 MB,78.4987,50.0984,97.4727
SmolLM2-135M,prefill,1,1.0,64,4 MB,78.4987,25.0492,86.7641
SmolLM2-135M,prefill,1,1.0,128,4 MB,78.4987,12.5246,82.3741
SmolLM2-135M,prefill,1,1.0,256,4 MB,78.4987,6.2623,80.1791
SmolLM2-135M,prefill,1,1.0,512,4 MB,78.4987,3.1311,79.0817
SmolLM2-135M,prefill,1,2.0,4,4 MB,39.2493,400.7871,400.7871
SmolLM2-135M,prefill,1,2.0,8,4 MB,39.2493,200.3936,200.3936
SmolLM2-135M,prefill,1,2.0,16,4 MB,39.2493,100.1968,100.1968
SmolLM2-135M,prefill,1,2.0,32,4 MB,39.2493,50.0984,63.0458
SmolLM2-135M,prefill,1,2.0,64,4 MB,39.2493,25.0492,48.7363
SmolLM2-135M,prefill,1,2.0,128,4 MB,39.2493,12.5246,43.3820
SmolLM2-135M,prefill,1,2.0,256,4 MB,39.2493,6.2623,41.1871
SmolLM2-135M,prefill,1,2.0,512,4 MB,39.2493,3.1311,40.0896
SmolLM2-135M,prefill,1,4.0,4,4 MB,19.6247,400.7871,400.7871
SmolLM2-135M,prefill,1,4.0,8,4 MB,19.6247,200.3936,200.3936
SmolLM2-135M,prefill,1,4.0,16,4 MB,19.6247,100.1968,100.1968
SmolLM2-135M,prefill,1,4.0,32,4 MB,19.6247,50.0984,50.0984
SmolLM2-135M,prefill,1,4.0,64,4 MB,19.6247,25.0492,31.5229
SmolLM2-135M,prefill,1,4.0,128,4 MB,19.6247,12.5246,24.3682
SmolLM2-135M,prefill,1,4.0,256,4 MB,19.6247,6.2623,21.6910
SmolLM2-135M,prefill,1,4.0,512,4 MB,19.6247,3.1311,20.5935
SmolLM2-135M,prefill,1,8.0,4,4 MB,9.8123,400.7871,400.7871
SmolLM2-135M,prefill,1,8.0,8,4 MB,9.8123,200.3936,200.3936
SmolLM2-135M,prefill,1,8.0,16,4 MB,9.8123,100.1968,100.1968
SmolLM2-135M,prefill,1,8.0,32,4 MB,9.8123,50.0984,50.0984
SmolLM2-135M,prefill,1,8.0,64,4 MB,9.8123,25.0492,25.0492
SmolLM2-135M,prefill,1,8.0,128,4 MB,9.8123,12.5246,15.7615
SmolLM2-135M,prefill,1,8.0,256,4 MB,9.8123,6.2623,12.1841
SmolLM2-135M,prefill,1,8.0,512,4 MB,9.8123,3.1311,10.8455
SmolLM2-135M,prefill,1,16.0,4,4 MB,4.9062,400.7871,400.7871
SmolLM2-135M,prefill,1,16.0,8,4 MB,4.9062,200.3936,200.3936
SmolLM2-135M,prefill,1,16.0,16,4 MB,4.9062,100.1968,100.1968
SmolLM2-135M,prefill,1,16.0,32,4 MB,4.9062,50.0984,50.0984
SmolLM2-135M,prefill,1,16.0,64,4 MB,4.9062,25.0492,25.0492
SmolLM2-135M,prefill,1,16.0,128,4 MB,4.9062,12.5246,12.5246
SmolLM2-135M,prefill,1,16.0,256,4 MB,4.9062,6.2623,7.8807
SmolLM2-135M,prefill,1,16.0,512,4 MB,4.9062,3.1311,6.0920
SmolLM2-135M,prefill,1,32.0,4,4 MB,2.4531,400.7871,400.7871
SmolLM2-135M,prefill,1,32.0,8,4 MB,2.4531,200.3936,200.3936
SmolLM2-135M,prefill,1,32.0,16,4 MB,2.4531,100.1968,100.1968
SmolLM2-135M,prefill,1,32.0,32,4 MB,2.4531,50.0984,50.0984
SmolLM2-135M,prefill,1,32.0,64,4 MB,2.4531,25.0492,25.0492
SmolLM2-135M,prefill,1,32.0,128,4 MB,2.4531,12.5246,12.5246
SmolLM2-135M,prefill,1,32.0,256,4 MB,2.4531,6.2623,6.2623
SmolLM2-135M,prefill,1,32.0,512,4 MB,2.4531,3.1311,3.9404
SmolLM2-135M,prefill,1,64.0,4,4 MB,1.2265,400.7871,400.7871
SmolLM2-135M,prefill,1,64.0,8,4 MB,1.2265,200.3936,200.3936
SmolLM2-135M,prefill,1,64.0,16,4 MB,1.2265,100.1968,100.1968
SmolLM2-135M,prefill,1,64.0,32,4 MB,1.2265,50.0984,50.0984
SmolLM2-135M,prefill,1,64.0,64,4 MB,1.2265,25.0492,25.0492
SmolLM2-135M,prefill,1,64.0,128,4 MB,1.2265,12.5246,12.5246
SmolLM2-135M,prefill,1,64.0,256,4 MB,1.2265,6.2623,6.2623
SmolLM2-135M,prefill,1,64.0,512,4 MB,1.2265,3.1311,3.1311
SmolLM2-135M,decode,1,0.5,4,256 KB,0.3066,90.9973,90.9973
SmolLM2-135M,decode,1,0.5,8,256 KB,0.3066,45.4987,45.4987
SmolLM2-135M,decode,1,0.5,16,256 KB,0.3066,22.7493,22.7493
SmolLM2-135M,decode,1,0.5,32,256 KB,0.3066,11.3747,11.3747
SmolLM2-135M,decode,1,0.5,64,256 KB,0.3066,5.6873,5.6873
SmolLM2-135M,decode,1,0.5,128,256 KB,0.3066,2.8437,2.8437
SmolLM2-135M,decode,1,0.5,256,256 KB,0.3066,1.4218,1.4218
SmolLM2-135M,decode,1,0.5,512,256 KB,0.3066,0.7109,0.7112
SmolLM2-135M,decode,1,1.0,4,256 KB,0.1533,90.9973,90.9973
SmolLM2-135M,decode,1,1.0,8,256 KB,0.1533,45.4987,45.4987
SmolLM2-135M,decode,1,1.0,16,256 KB,0.1533,22.7493,22.7493
SmolLM2-135M,decode,1,1.0,32,256 KB,0.1533,11.3747,11.3747
SmolLM2-135M,decode,1,1.0,64,256 KB,0.1533,5.6873,5.6873
SmolLM2-135M,decode,1,1.0,128,256 KB,0.1533,2.8437,2.8437
SmolLM2-135M,decode,1,1.0,256,256 KB,0.1533,1.4218,1.4218
SmolLM2-135M,decode,1,1.0,512,256 KB,0.1533,0.7109,0.7109
SmolLM2-135M,decode,1,2.0,4,256 KB,0.0767,90.9973,90.9973
SmolLM2-135M,decode,1,2.0,8,256 KB,0.0767,45.4987,45.4987
SmolLM2-135M,decode,1,2.0,16,256 KB,0.0767,22.7493,22.7493
SmolLM2-135M,decode,1,2.0,32,256 KB,0.0767,11.3747,11.3747
SmolLM2-135M,decode,1,2.0,64,256 KB,0.0767,5.6873,5.6873
SmolLM2-135M,decode,1,2.0,128,256 KB,0.0767,2.8437,2.8437
SmolLM2-135M,decode,1,2.0,256,256 KB,0.0767,1.4218,1.4218
SmolLM2-135M,decode,1,2.0,512,256 KB,0.0767,0.7109,0.7109
SmolLM2-135M,decode,1,4.0,4,256 KB,0.0383,90.9973,90.9973
SmolLM2-135M,decode,1,4.0,8,256 KB,0.0383,45.4987,45.4987
SmolLM2-135M,decode,1,4.0,16,256 KB,0.0383,22.7493,22.7493
SmolLM2-135M,decode,1,4.0,32,256 KB,0.0383,11.3747,11.3747
SmolLM2-135M,decode,1,4.0,64,256 KB,0.0383,5.6873,5.6873
SmolLM2-135M,decode,1,4.0,128,256 KB,0.0383,2.8437,2.8437
SmolLM2-135M,decode,1,4.0,256,256 KB,0.0383,1.4218,1.4218
SmolLM2-135M,decode,1,4.0,512,256 KB,0.0383,0.7109,0.7109
SmolLM2-135M,decode,1,8.0,4,256 KB,0.0192,90.9973,90.9973
SmolLM2-135M,decode,1,8.0,8,256 KB,0.0192,45.4987,45.4987
SmolLM2-135M,decode,1,8.0,16,256 KB,0.0192,22.7493,22.7493
SmolLM2-135M,decode,1,8.0,32,256 KB,0.0192,11.3747,11.3747
SmolLM2-135M,decode,1,8.0,64,256 KB,0.0192,5.6873,5.6873
SmolLM2-135M,decode,1,8.0,128,256 KB,0.0192,2.8437,2.8437
SmolLM2-135M,decode,1,8.0,256,256 KB,0.0192,1.4218,1.4218
SmolLM2-135M,decode,1,8.0,512,256 KB,0.0192,0.7109,0.7109
SmolLM2-135M,decode,1,16.0,4,256 KB,0.0096,90.9973,90.9973
SmolLM2-135M,decode,1,16.0,8,256 KB,0.0096,45.4987,45.4987
SmolLM2-135M,decode,1,16.0,16,256 KB,0.0096,22.7493,22.7493
SmolLM2-135M,decode,1,16.0,32,256 KB,0.0096,11.3747,11.3747
SmolLM2-135M,decode,1,16.0,64,256 KB,0.0096,5.6873,5.6873
SmolLM2-135M,decode,1,16.0,128,256 KB,0.0096,2.8437,2.8437
SmolLM2-135M,decode,1,16.0,256,256 KB,0.0096,1.4218,1.4218
SmolLM2-135M,decode,1,16.0,512,256 KB,0.0096,0.7109,0.7109
SmolLM2-135M,decode,1,32.0,4,256 KB,0.0048,90.9973,90.9973
SmolLM2-135M,decode,1,32.0,8,256 KB,0.0048,45.4987,45.4987
SmolLM2-135M,decode,1,32.0,16,256 KB,0.0048,22.7493,22.7493
SmolLM2-135M,decode,1,32.0,32,256 KB,0.0048,11.3747,11.3747
SmolLM2-135M,decode,1,32.0,64,256 KB,0.0048,5.6873,5.6873
SmolLM2-135M,decode,1,32.0,128,256 KB,0.0048,2.8437,2.8437
SmolLM2-135M,decode,1,32.0,256,256 KB,0.0048,1.4218,1.4218
SmolLM2-135M,decode,1,32.0,512,256 KB,0.0048,0.7109,0.7109
SmolLM2-135M,decode,1,64.0,4,256 KB,0.0024,90.9973,90.9973
SmolLM2-135M,decode,1,64.0,8,256 KB,0.0024,45.4987,45.4987
SmolLM2-135M,decode,1,64.0,16,256 KB,0.0024,22.7493,22.7493
SmolLM2-135M,decode,1,64.0,32,256 KB,0.0024,11.3747,11.3747
SmolLM2-135M,decode,1,64.0,64,256 KB,0.0024,5.6873,5.6873
SmolLM2-135M,decode,1,64.0,128,256 KB,0.0024,2.8437,2.8437
SmolLM2-135M,decode,1,64.0,256,256 KB,0.0024,1.4218,1.4218
SmolLM2-135M,decode,1,64.0,512,256 KB,0.0024,0.7109,0.7109
SmolLM2-135M,decode,1,0.5,4,1 MB,0.3066,90.8942,90.8942
SmolLM2-135M,decode,1,0.5,8,1 MB,0.3066,45.4471,45.4471
SmolLM2-135M,decode,1,0.5,16,1 MB,0.3066,22.7236,22.7236
SmolLM2-135M,decode,1,0.5,32,1 MB,0.3066,11.3618,11.3618
SmolLM2-135M,decode,1,0.5,64,1 MB,0.3066,5.6809,5.6809
SmolLM2-135M,decode,1,0.5,128,1 MB,0.3066,2.8404,2.8404
SmolLM2-135M,decode,1,0.5,256,1 MB,0.3066,1.4202,1.4202
SmolLM2-135M,decode,1,0.5,512,1 MB,0.3066,0.7101,0.7104
SmolLM2-135M,decode,1,1.0,4,1 MB,0.1533,90.8942,90.8942
SmolLM2-135M,decode,1,1.0,8,1 MB,0.1533,45.4471,45.4471
SmolLM2-135M,decode,1,1.0,16,1 MB,0.1533,22.7236,22.7236
SmolLM2-135M,decode,1,1.0,32,1 MB,0.1533,11.3618,11.3618
SmolLM2-135M,decode,1,1.0,64,1 MB,0.1533,5.6809,5.6809
SmolLM2-135M,decode,1,1.0,128,1 MB,0.1533,2.8404,2.8404
SmolLM2-135M,decode,1,1.0,256,1 MB,0.1533,1.4202,1.4202
SmolLM2-135M,decode,1,1.0,512,1 MB,0.1533,0.7101,0.7101
SmolLM2-135M,decode,1,2.0,4,1 MB,0.0767,90.8942,90.8942
SmolLM2-135M,decode,1,2.0,8,1 MB,0.0767,45.4471,45.4471
SmolLM2-135M,decode,1,2.0,16,1 MB,0.0767,22.7236,22.7236
SmolLM2-135M,decode,1,2.0,32,1 MB,0.0767,11.3618,11.3618
SmolLM2-135M,decode,1,2.0,64,1 MB,0.0767,5.6809,5.6809
SmolLM2-135M,decode,1,2.0,128,1 MB,0.0767,2.8404,2.8404
SmolLM2-135M,decode,1,2.0,256,1 MB,0.0767,1.4202,1.4202
SmolLM2-135M,decode,1,2.0,512,1 MB,0.0767,0.7101,0.7101
SmolLM2-135M,decode,1,4.0,4,1 MB,0.0383,90.8942,90.8942
SmolLM2-135M,decode,1,4.0,8,1 MB,0.0383,45.4471,45.4471
SmolLM2-135M,decode,1,4.0,16,1 MB,0.0383,22.7236,22.7236
SmolLM2-135M,decode,1,4.0,32,1 MB,0.0383,11.3618,11.3618
SmolLM2-135M,decode,1,4.0,64,1 MB,0.0383,5.6809,5.6809
SmolLM2-135M,decode,1,4.0,128,1 MB,0.0383,2.8404,2.8404
SmolLM2-135M,decode,1,4.0,256,1 MB,0.0383,1.4202,1.4202
SmolLM2-135M,decode,1,4.0,512,1 MB,0.0383,0.7101,0.7101
SmolLM2-135M,decode,1,8.0,4,1 MB,0.0192,90.8942,90.8942
SmolLM2-135M,decode,1,8.0,8,1 MB,0.0192,45.4471,45.4471
SmolLM2-135M,decode,1,8.0,16,1 MB,0.0192,22.7236,22.7236
SmolLM2-135M,decode,1,8.0,32,1 MB,0.0192,11.3618,11.3618
SmolLM2-135M,decode,1,8.0,64,1 MB,0.0192,5.6809,5.6809
SmolLM2-135M,decode,1,8.0,128,1 MB,0.0192,2.8404,2.8404
SmolLM2-135M,decode,1,8.0,256,1 MB,0.0192,1.4202,1.4202
SmolLM2-135M,decode,1,8.0,512,1 MB,0.0192,0.7101,0.7101
SmolLM2-135M,decode,1,16.0,4,1 MB,0.0096,90.8942,90.8942
SmolLM2-135M,decode,1,16.0,8,1 MB,0.0096,45.4471,45.4471
SmolLM2-135M,decode,1,16.0,16,1 MB,0.0096,22.7236,22.7236
SmolLM2-135M,decode,1,16.0,32,1 MB,0.0096,11.3618,11.3618
SmolLM2-135M,decode,1,16.0,64,1 MB,0.0096,5.6809,5.6809
SmolLM2-135M,decode,1,16.0,128,1 MB,0.0096,2.8404,2.8404
SmolLM2-135M,decode,1,16.0,256,1 MB,0.0096,1.4202,1.4202
SmolLM2-135M,decode,1,16.0,512,1 MB,0.0096,0.7101,0.7101
SmolLM2-135M,decode,1,32.0,4,1 MB,0.0048,90.8942,90.8942
SmolLM2-135M,decode,1,32.0,8,1 MB,0.0048,45.4471,45.4471
SmolLM2-135M,decode,1,32.0,16,1 MB,0.0048,22.7236,22.7236
SmolLM2-135M,decode,1,32.0,32,1 MB,0.0048,11.3618,11.3618
SmolLM2-135M,decode,1,32.0,64,1 MB,0.0048,5.6809,5.6809
SmolLM2-135M,decode,1,32.0,128,1 MB,0.0048,2.8404,2.8404
SmolLM2-135M,decode,1,32.0,256,1 MB,0.0048,1.4202,1.4202
SmolLM2-135M,decode,1,32.0,512,1 MB,0.0048,0.7101,0.7101
SmolLM2-135M,decode,1,64.0,4,1 MB,0.0024,90.8942,90.8942
SmolLM2-135M,decode,1,64.0,8,1 MB,0.0024,45.4471,45.4471
SmolLM2-135M,decode,1,64.0,16,1 MB,0.0024,22.7236,22.7236
SmolLM2-135M,decode,1,64.0,32,1 MB,0.0024,11.3618,11.3618
SmolLM2-135M,decode,1,64.0,64,1 MB,0.0024,5.6809,5.6809
SmolLM2-135M,decode,1,64.0,128,1 MB,0.0024,2.8404,2.8404
SmolLM2-135M,decode,1,64.0,256,1 MB,0.0024,1.4202,1.4202
SmolLM2-135M,decode,1,64.0,512,1 MB,0.0024,0.7101,0.7101
SmolLM2-135M,decode,1,0.5,4,4 MB,0.3066,90.8672,90.8672
SmolLM2-135M,decode,1,0.5,8,4 MB,0.3066,45.4336,45.4336
SmolLM2-135M,decode,1,0.5,16,4 MB,0.3066,22.7168,22.7168
SmolLM2-135M,decode,1,0.5,32,4 MB,0.3066,11.3584,11.3584
SmolLM2-135M,decode,1,0.5,64,4 MB,0.3066,5.6792,5.6792
SmolLM2-135M,decode,1,0.5,128,4 MB,0.3066,2.8396,2.8396
SmolLM2-135M,decode,1,0.5,256,4 MB,0.3066,1.4198,1.4198
SmolLM2-135M,decode,1,0.5,512,4 MB,0.3066,0.7099,0.7102
SmolLM2-135M,decode,1,1.0,4,4 MB,0.1533,90.8672,90.8672
SmolLM2-135M,decode,1,1.0,8,4 MB,0.1533,45.4336,45.4336
SmolLM2-135M,decode,1,1.0,16,4 MB,0.1533,22.7168,22.7168
SmolLM2-135M,decode,1,1.0,32,4 MB,0.1533,11.3584,11.3584
SmolLM2-135M,decode,1,1.0,64,4 MB,0.1533,5.6792,5.6792
SmolLM2-135M,decode,1,1.0,128,4 MB,0.1533,2.8396,2.8396
SmolLM2-135M,decode,1,1.0,256,4 MB,0.1533,1.4198,1.4198
SmolLM2-135M,decode,1,1.0,512,4 MB,0.1533,0.7099,0.7099
SmolLM2-135M,decode,1,2.0,4,4 MB,0.0767,90.8672,90.8672
SmolLM2-135M,decode,1,2.0,8,4 MB,0.0767,45.4336,45.4336
SmolLM2-135M,decode,1,2.0,16,4 MB,0.0767,22.7168,22.7168
SmolLM2-135M,decode,1,2.0,32,4 MB,0.0767,11.3584,11.3584
SmolLM2-135M,decode,1,2.0,64,4 MB,0.0767,5.6792,5.6792
SmolLM2-135M,decode,1,2.0,128,4 MB,0.0767,2.8396,2.8396
SmolLM2-135M,decode,1,2.0,256,4 MB,0.0767,1.4198,1.4198
SmolLM2-135M,decode,1,2.0,512,4 MB,0.0767,0.7099,0.7099
SmolLM2-135M,decode,1,4.0,4,4 MB,0.0383,90.8672,90.8672
SmolLM2-135M,decode,1,4.0,8,4 MB,0.0383,45.4336,45.4336
SmolLM2-135M,decode,1,4.0,16,4 MB,0.0383,22.7168,22.7168
SmolLM2-135M,decode,1,4.0,32,4 MB,0.0383,11.3584,11.3584
SmolLM2-135M,decode,1,4.0,64,4 MB,0.0383,5.6792,5.6792
SmolLM2-135M,decode,1,4.0,128,4 MB,0.0383,2.8396,2.8396
SmolLM2-135M,decode,1,4.0,256,4 MB,0.0383,1.4198,1.4198
SmolLM2-135M,decode,1,4.0,512,4 MB,0.0383,0.7099,0.7099
SmolLM2-135M,decode,1,8.0,4,4 MB,0.0192,90.8672,90.8672
SmolLM2-135M,decode,1,8.0,8,4 MB,0.0192,45.4336,45.4336
SmolLM2-135M,decode,1,8.0,16,4 MB,0.0192,22.7168,22.7168
SmolLM2-135M,decode,1,8.0,32,4 MB,0.0192,11.3584,11.3584
SmolLM2-135M,decode,1,8.0,64,4 MB,0.0192,5.6792,5.6792
SmolLM2-135M,decode,1,8.0,128,4 MB,0.0192,2.8396,2.8396
SmolLM2-135M,decode,1,8.0,256,4 MB,0.0192,1.4198,1.4198
SmolLM2-135M,decode,1,8.0,512,4 MB,0.0192,0.7099,0.7099
SmolLM2-135M,decode,1,16.0,4,4 MB,0.0096,90.8672,90.8672
SmolLM2-135M,decode,1,16.0,8,4 MB,0.0096,45.4336,45.4336
SmolLM2-135M,decode,1,16.0,16,4 MB,0.0096,22.7168,22.7168
SmolLM2-135M,decode,1,16.0,32,4 MB,0.0096,11.3584,11.3584
SmolLM2-135M,decode,1,16.0,64,4 MB,0.0096,5.6792,5.6792
SmolLM2-135M,decode,1,16.0,128,4 MB,0.0096,2.8396,2.8396
SmolLM2-135M,decode,1,16.0,256,4 MB,0.0096,1.4198,1.4198
SmolLM2-135M,decode,1,16.0,512,4 MB,0.0096,0.7099,0.7099
SmolLM2-135M,decode,1,32.0,4,4 MB,0.0048,90.8672,90.8672
SmolLM2-135M,decode,1,32.0,8,4 MB,0.0048,45.4336,45.4336
SmolLM2-135M,decode,1,32.0,16,4 MB,0.0048,22.7168,22.7168
SmolLM2-135M,decode,1,32.0,32,4 MB,0.0048,11.3584,11.3584
SmolLM2-135M,decode,1,32.0,64,4 MB,0.0048,5.6792,5.6792
SmolLM2-135M,decode,1,32.0,128,4 MB,0.0048,2.8396,2.8396
SmolLM2-135M,decode,1,32.0,256,4 MB,0.0048,1.4198,1.4198
SmolLM2-135M,decode,1,32.0,512,4 MB,0.0048,0.7099,0.7099
SmolLM2-135M,decode,1,64.0,4,4 MB,0.0024,90.8672,90.8672
SmolLM2-135M,decode,1,64.0,8,4 MB,0.0024,45.4336,45.4336
SmolLM2-135M,decode,1,64.0,16,4 MB,0.0024,22.7168,22.7168
SmolLM2-135M,decode,1,64.0,32,4 MB,0.0024,11.3584,11.3584
SmolLM2-135M,decode,1,64.0,64,4 MB,0.0024,5.6792,5.6792
SmolLM2-135M,decode,1,64.0,128,4 MB,0.0024,2.8396,2.8396
SmolLM2-135M,decode,1,64.0,256,4 MB,0.0024,1.4198,1.4198
SmolLM2-135M,decode,1,64.0,512,4 MB,0.0024,0.7099,0.7099
SmolLM2-135M,prefill,16,0.5,4,256 KB,2511.9551,7848.6461,7848.6461
SmolLM2-135M,prefill,16,0.5,8,256 KB,2511.9551,3924.3230,4019.8069
SmolLM2-135M,prefill,16,0.5,16,256 KB,2511.9551,1962.1615,3111.5626
SmolLM2-135M,prefill,16,0.5,32,256 KB,2511.9551,981.0808,2746.1263
SmolLM2-135M,prefill,16,0.5,64,256 KB,2511.9551,490.5404,2620.8099
SmolLM2-135M,prefill,16,0.5,128,256 KB,2511.9551,245.2702,2558.1517
SmolLM2-135M,prefill,16,0.5,256,256 KB,2511.9551,122.6351,2526.8226
SmolLM2-135M,prefill,16,0.5,512,256 KB,2511.9551,61.3175,2513.6921
SmolLM2-135M,prefill,16,1.0,4,256 KB,1255.9775,7848.6461,7848.6461
SmolLM2-135M,prefill,16,1.0,8,256 KB,1255.9775,3924.3230,3924.3230
SmolLM2-135M,prefill,16,1.0,16,256 KB,1255.9775,1962.1615,2009.9034
SmolLM2-135M,prefill,16,1.0,32,256 KB,1255.9775,981.0808,1555.7813
SmolLM2-135M,prefill,16,1.0,64,256 KB,1255.9775,490.5404,1373.0632
SmolLM2-135M,prefill,16,1.0,128,256 KB,1255.9775,245.2702,1310.4049
SmolLM2-135M,prefill,16,1.0,256,256 KB,1255.9775,122.6351,1279.0758
SmolLM2-135M,prefill,16,1.0,512,256 KB,1255.9775,61.3175,1263.4113
