model,phase,batch,point,operator,macs,bytes,intensity,compute_ms,memory_ms,latency_ms,bound
EfficientNet-B1,image,8,high,Linear,10248000,2596480,3.9469,0.0002,0.0051,0.0051,memory
EfficientNet-B2,image,1,edge,Conv2d,657570850,55628432,11.8208,0.3288,3.4768,3.4768,memory
EfficientNet-B2,image,1,edge,BatchNorm2d,39236208,39439050,0.9949,0.0196,2.4649,2.4649,memory
EfficientNet-B2,image,1,edge,SiLU,17608324,35216648,0.5000,0.0088,2.2010,2.2010,memory
EfficientNet-B2,image,1,edge,AdaptiveAvgPool2d,3794288,7588576,0.5000,0.0019,0.4743,0.4743,memory
EfficientNet-B2,image,1,edge,Sigmoid,14784,59136,0.2500,0.0000,0.0037,0.0037,memory
EfficientNet-B2,image,1,edge,Dropout,0,5632,0.0000,0.0000,0.0004,0.0004,memory
EfficientNet-B2,image,1,edge,Linear,1409000,2823632,0.4990,0.0007,0.1765,0.1765,memory
EfficientNet-B2,image,1,mid,Conv2d,657570850,55169400,11.9191,0.0411,0.4310,0.4310,memory
EfficientNet-B2,image,1,mid,BatchNorm2d,39236208,39439050,0.9949,0.0025,0.3081,0.3081,memory
EfficientNet-B2,image,1,mid,SiLU,17608324,35216648,0.5000,0.0011,0.2751,0.2751,memory
EfficientNet-B2,image,1,mid,AdaptiveAvgPool2d,3794288,7588576,0.5000,0.0002,0.0593,0.0593,memory
EfficientNet-B2,image,1,mid,Sigmoid,14784,59136,0.2500,0.0000,0.0005,0.0005,memory
EfficientNet-B2,image,1,mid,Dropout,0,5632,0.0000,0.0000,0.0000,0.0000,memory
EfficientNet-B2,image,1,mid,Linear,1409000,2820816,0.4995,0.0001,0.0220,0.0220,memory
EfficientNet-B2,image,1,high,Conv2d,657570850,55169400,11.9191,0.0103,0.1078,0.1078,memory
EfficientNet-B2,image,1,high,BatchNorm2d,39236208,39439050,0.9949,0.0006,0.0770,0.0770,memory
EfficientNet-B2,image,1,high,SiLU,17608324,35216648,0.5000,0.0003,0.0688,0.0688,memory
EfficientNet-B2,image,1,high,AdaptiveAvgPool2d,3794288,7588576,0.5000,0.0001,0.0148,0.0148,memory
EfficientNet-B2,image,1,high,Sigmoid,14784,59136,0.2500,0.0000,0.0001,0.0001,memory
EfficientNet-B2,image,1,high,Dropout,0,5632,0.0000,0.0000,0.0000,0.0000,memory
EfficientNet-B2,image,1,high,Linear,1409000,2820816,0.4995,0.0000,0.0055,0.0055,memory
EfficientNet-B2,image,8,edge,Conv2d,5260566800,342541248,15.3575,2.6303,21.4088,21.4088,memory
