model,phase,batch,point,operator,macs,bytes,intensity,compute_ms,memory_ms,latency_ms,bound
SmolLM2-135M,decode,1,high,GroupedQueryAttention,17832960,36011520,0.4952,0.0003,0.0703,0.0703,memory
SmolLM2-135M,decode,1,high,SiLU,92160,184320,0.5000,0.0000,0.0004,0.0004,memory
SmolLM2-135M,prefill,16,edge,Embedding,0,66076672,0.0000,0.0000,4.1298,4.1298,memory
SmolLM2-135M,prefill,16,edge,RotaryEmbedding,660684800,762971200,0.8659,0.3303,47.6857,47.6857,memory
SmolLM2-135M,prefill,16,edge,RMSNorm,1152835584,1151406720,1.0012,0.5764,71.9629,71.9629,memory
SmolLM2-135M,prefill,16,edge,Linear,1101659111424,10808721408,101.9232,550.8296,675.5451,675.5451,memory
SmolLM2-135M,prefill,16,edge,Softmax,5662310400,4529848320,1.2500,2.8312,283.1155,283.1155,memory
SmolLM2-135M,prefill,16,edge,GroupedQueryAttention,146087608320,5662310400,25.8000,73.0438,353.8944,353.8944,memory
SmolLM2-135M,prefill,16,edge,SiLU,754974720,1509949440,0.5000,0.3775,94.3718,94.3718,memory
SmolLM2-135M,prefill,16,mid,Embedding,0,66076672,0.0000,0.0000,0.5162,0.5162,memory
SmolLM2-135M,prefill,16,mid,RotaryEmbedding,660684800,762971200,0.8659,0.0413,5.9607,5.9607,memory
SmolLM2-135M,prefill,16,mid,RMSNorm,1152835584,1151406720,1.0012,0.0721,8.9954,8.9954,memory
SmolLM2-135M,prefill,16,mid,Linear,1101659111424,8307867648,132.6043,68.8537,64.9052,68.8537,compute
SmolLM2-135M,prefill,16,mid,Softmax,5662310400,4529848320,1.2500,0.3539,35.3894,35.3894,memory
SmolLM2-135M,prefill,16,mid,GroupedQueryAttention,146087608320,5662310400,25.8000,9.1305,44.2368,44.2368,memory
SmolLM2-135M,prefill,16,mid,SiLU,754974720,1509949440,0.5000,0.0472,11.7965,11.7965,memory
SmolLM2-135M,prefill,16,high,Embedding,0,66076672,0.0000,0.0000,0.1291,0.1291,memory
SmolLM2-135M,prefill,16,high,RotaryEmbedding,660684800,762971200,0.8659,0.0103,1.4902,1.4902,memory
SmolLM2-135M,prefill,16,high,RMSNorm,1152835584,1151406720,1.0012,0.0180,2.2488,2.2488,memory
SmolLM2-135M,prefill,16,high,Linear,1101659111424,8307867648,132.6043,17.2134,16.2263,17.2134,compute
SmolLM2-135M,prefill,16,high,Softmax,5662310400,4529848320,1.2500,0.0885,8.8474,8.8474,memory
SmolLM2-135M,prefill,16,high,GroupedQueryAttention,146087608320,5662310400,25.8000,2.2826,11.0592,11.0592,memory
SmolLM2-135M,prefill,16,high,SiLU,754974720,1509949440,0.5000,0.0118,2.9491,2.9491,memory
SmolLM2-135M,decode,16,edge,Embedding,0,56641568,0.0000,0.0000,3.5401,3.5401,memory
SmolLM2-135M,decode,16,edge,RotaryEmbedding,1290400,1490242,0.8659,0.0006,0.0931,0.0931,memory
SmolLM2-135M,decode,16,edge,RMSNorm,2251632,2318976,0.9710,0.0011,0.1449,0.1449,memory
SmolLM2-135M,decode,16,edge,Linear,2151677952,283766784,7.5826,1.0758,17.7354,17.7354,memory
SmolLM2-135M,decode,16,edge,Softmax,11059200,8847360,1.2500,0.0055,0.5530,0.5530,memory
SmolLM2-135M,decode,16,edge,GroupedQueryAttention,285327360,576184320,0.4952,0.1427,36.0115,36.0115,memory
SmolLM2-135M,decode,16,edge,SiLU,1474560,2949120,0.5000,0.0007,0.1843,0.1843,memory
SmolLM2-135M,decode,16,mid,Embedding,0,56641568,0.0000,0.0000,0.4425,0.4425,memory
SmolLM2-135M,decode,16,mid,RotaryEmbedding,1290400,1490242,0.8659,0.0001,0.0116,0.0116,memory
SmolLM2-135M,decode,16,mid,RMSNorm,2251632,2318976,0.9710,0.0001,0.0181,0.0181,memory
SmolLM2-135M,decode,16,mid,Linear,2151677952,282034176,7.6291,0.1345,2.2034,2.2034,memory
SmolLM2-135M,decode,16,mid,Softmax,11059200,8847360,1.2500,0.0007,0.0691,0.0691,memory
SmolLM2-135M,decode,16,mid,GroupedQueryAttention,285327360,576184320,0.4952,0.0178,4.5014,4.5014,memory
SmolLM2-135M,decode,16,mid,SiLU,1474560,2949120,0.5000,0.0001,0.0230,0.0230,memory
SmolLM2-135M,decode,16,high,Embedding,0,56641568,0.0000,0.0000,0.1106,0.1106,memory
SmolLM2-135M,decode,16,high,RotaryEmbedding,1290400,1490242,0.8659,0.0000,0.0029,0.0029,memory
SmolLM2-135M,decode,16,high,RMSNorm,2251632,2318976,0.9710,0.0000,0.0045,0.0045,memory
SmolLM2-135M,decode,16,high,Linear,2151677952,282034176,7.6291,0.0336,0.5508,0.5508,memory
SmolLM2-135M,decode,16,high,Softmax,11059200,8847360,1.2500,0.0002,0.0173,0.0173,memory
SmolLM2-135M,decode,16,high,GroupedQueryAttention,285327360,576184320,0.4952,0.0045,1.1254,1.1254,memory
SmolLM2-135M,decode,16,high,SiLU,1474560,2949120,0.5000,0.0000,0.0058,0.0058,memory
GoogLeNet,image,1,edge,Conv2d,1497352192,41930688,35.7102,0.7487,2.6207,2.6207,memory
GoogLeNet,image,1,edge,BatchNorm2d,12919200,12962994,0.9966,0.0065,0.8102,0.8102,memory
GoogLeNet,image,1,edge,ReLU,3226160,12904640,0.2500,0.0016,0.8065,0.8065,memory
GoogLeNet,image,1,edge,MaxPool2d,12553408,8586368,1.4620,0.0063,0.5366,0.5366,memory
GoogLeNet,image,1,edge,AdaptiveAvgPool2d,51200,102400,0.5000,0.0000,0.0064,0.0064,memory
GoogLeNet,image,1,edge,Dropout,0,4096,0.0000,0.0000,0.0003,0.0003,memory
GoogLeNet,image,1,edge,Linear,1025000,2054096,0.4990,0.0005,0.1284,0.1284,memory
GoogLeNet,image,1,mid,Conv2d,1497352192,40314432,37.1418,0.0936,0.3150,0.3150,memory
GoogLeNet,image,1,mid,BatchNorm2d,12919200,12962994,0.9966,0.0008,0.1013,0.1013,memory
GoogLeNet,image,1,mid,ReLU,3226160,12904640,0.2500,0.0002,0.1008,0.1008,memory
GoogLeNet,image,1,mid,MaxPool2d,12553408,8586368,1.4620,0.0008,0.0671,0.0671,memory
GoogLeNet,image,1,mid,AdaptiveAvgPool2d,51200,102400,0.5000,0.0000,0.0008,0.0008,memory
GoogLeNet,image,1,mid,Dropout,0,4096,0.0000,0.0000,0.0000,0.0000,memory
GoogLeNet,image,1,mid,Linear,1025000,2052048,0.4995,0.0001,0.0160,0.0160,memory
GoogLeNet,image,1,high,Conv2d,1497352192,40314432,37.1418,0.0234,0.0787,0.0787,memory
GoogLeNet,image,1,high,BatchNorm2d,12919200,12962994,0.9966,0.0002,0.0253,0.0253,memory
GoogLeNet,image,1,high,ReLU,3226160,12904640,0.2500,0.0001,0.0252,0.0252,memory
GoogLeNet,image,1,high,MaxPool2d,12553408,8586368,1.4620,0.0002,0.0168,0.0168,memory
GoogLeNet,image,1,high,AdaptiveAvgPool2d,51200,102400,0.5000,0.0000,0.0002,0.0002,memory
GoogLeNet,image,1,high,Dropout,0,4096,0.0000,0.0000,0.0000,0.0000,memory
GoogLeNet,image,1,high,Linear,1025000,2052048,0.4995,0.0000,0.0040,0.0040,memory
GoogLeNet,image,8,edge,Conv2d,11978817536,268330112,44.6421,5.9894,16.7706,16.7706,memory
GoogLeNet,image,8,edge,BatchNorm2d,103251680,103295474,0.9996,0.0516,6.4560,6.4560,memory
GoogLeNet,image,8,edge,ReLU,25809280,103237120,0.2500,0.0129,6.4523,6.4523,memory
GoogLeNet,image,8,edge,MaxPool2d,100427264,68690944,1.4620,0.0502,4.2932,4.2932,memory
GoogLeNet,image,8,edge,AdaptiveAvgPool2d,409600,819200,0.5000,0.0002,0.0512,0.0512,memory
GoogLeNet,image,8,edge,Dropout,0,32768,0.0000,0.0000,0.0020,0.0020,memory
GoogLeNet,image,8,edge,Linear,8200000,2096768,3.9108,0.0041,0.1310,0.1310,memory
GoogLeNet,image,8,mid,Conv2d,11978817536,253888256,47.1815,0.7487,1.9835,1.9835,memory
GoogLeNet,image,8,mid,BatchNorm2d,103251680,103295474,0.9996,0.0065,0.8070,0.8070,memory
GoogLeNet,image,8,mid,ReLU,25809280,103237120,0.2500,0.0016,0.8065,0.8065,memory
GoogLeNet,image,8,mid,MaxPool2d,100427264,68690944,1.4620,0.0063,0.5366,0.5366,memory
GoogLeNet,image,8,mid,AdaptiveAvgPool2d,409600,819200,0.5000,0.0000,0.0064,0.0064,memory
GoogLeNet,image,8,mid,Dropout,0,32768,0.0000,0.0000,0.0003,0.0003,memory
GoogLeNet,image,8,mid,Linear,8200000,2080384,3.9416,0.0005,0.0163,0.0163,memory
GoogLeNet,image,8,high,Conv2d,11978817536,253888256,47.1815,0.1872,0.4959,0.4959,memory
GoogLeNet,image,8,high,BatchNorm2d,103251680,103295474,0.9996,0.0016,0.2017,0.2017,memory
GoogLeNet,image,8,high,ReLU,25809280,103237120,0.2500,0.0004,0.2016,0.2016,memory
GoogLeNet,image,8,high,MaxPool2d,100427264,68690944,1.4620,0.0016,0.1342,0.1342,memory
GoogLeNet,image,8,high,AdaptiveAvgPool2d,409600,819200,0.5000,0.0000,0.0016,0.0016,memory
GoogLeNet,image,8,high,Dropout,0,32768,0.0000,0.0000,0.0001,0.0001,memory
GoogLeNet,image,8,high,Linear,8200000,2080384,3.9416,0.0001,0.0041,0.0041,memory
ResNet-18,image,1,edge,Conv2d,1813561344,59227392,30.6203,0.9068,3.7017,3.7017,memory
ResNet-18,image,1,edge,BatchNorm2d,9944448,9973288,0.9971,0.0050,0.6233,0.6233,memory
ResNet-18,image,1,edge,ReLU,2308096,9232384,0.2500,0.0012,0.5770,0.5770,memory
ResNet-18,image,1,edge,MaxPool2d,1806336,2007040,0.9000,0.0009,0.1254,0.1254,memory
ResNet-18,image,1,edge,AdaptiveAvgPool2d,25600,51200,0.5000,0.0000,0.0032,0.0032,memory
ResNet-18,image,1,edge,Linear,513000,1028048,0.4990,0.0003,0.0643,0.0643,memory
ResNet-18,image,1,mid,Conv2d,1813561344,57419648,31.5843,0.1133,0.4486,0.4486,memory
ResNet-18,image,1,mid,BatchNorm2d,9944448,9973288,0.9971,0.0006,0.0779,0.0779,memory
ResNet-18,image,1,mid,ReLU,2308096,9232384,0.2500,0.0001,0.0721,0.0721,memory
ResNet-18,image,1,mid,MaxPool2d,1806336,2007040,0.9000,0.0001,0.0157,0.0157,memory
ResNet-18,image,1,mid,AdaptiveAvgPool2d,25600,51200,0.5000,0.0000,0.0004,0.0004,memory
ResNet-18,image,1,mid,Linear,513000,1027024,0.4995,0.0000,0.0080,0.0080,memory
ResNet-18,image,1,high,Conv2d,1813561344,57419648,31.5843,0.0283,0.1121,0.1121,memory
ResNet-18,image,1,high,BatchNorm2d,9944448,9973288,0.9971,0.0002,0.0195,0.0195,memory
ResNet-18,image,1,high,ReLU,2308096,9232384,0.2500,0.0000,0.0180,0.0180,memory
ResNet-18,image,1,high,MaxPool2d,1806336,2007040,0.9000,0.0000,0.0039,0.0039,memory
ResNet-18,image,1,high,AdaptiveAvgPool2d,25600,51200,0.5000,0.0000,0.0001,0.0001,memory
ResNet-18,image,1,high,Linear,513000,1027024,0.4995,0.0000,0.0020,0.0020,memory
ResNet-18,image,8,edge,Conv2d,14508490752,326498432,44.4366,7.2542,20.4062,20.4062,memory
ResNet-18,image,8,edge,BatchNorm2d,79488384,79517224,0.9996,0.0397,4.9698,4.9698,memory
ResNet-18,image,8,edge,ReLU,18464768,73859072,0.2500,0.0092,4.6162,4.6162,memory
ResNet-18,image,8,edge,MaxPool2d,14450688,16056320,0.9000,0.0072,1.0035,1.0035,memory
ResNet-18,image,8,edge,AdaptiveAvgPool2d,204800,409600,0.5000,0.0001,0.0256,0.0256,memory
ResNet-18,image,8,edge,Linear,4104000,1056384,3.8850,0.0021,0.0660,0.0660,memory
ResNet-18,image,8,mid,Conv2d,14508490752,311798016,46.5317,0.9068,2.4359,2.4359,memory
ResNet-18,image,8,mid,BatchNorm2d,79488384,79517224,0.9996,0.0050,0.6212,0.6212,memory
ResNet-18,image,8,mid,ReLU,18464768,73859072,0.2500,0.0012,0.5770,0.5770,memory
ResNet-18,image,8,mid,MaxPool2d,14450688,16056320,0.9000,0.0009,0.1254,0.1254,memory
ResNet-18,image,8,mid,AdaptiveAvgPool2d,204800,409600,0.5000,0.0000,0.0032,0.0032,memory
ResNet-18,image,8,mid,Linear,4104000,1048192,3.9153,0.0003,0.0082,0.0082,memory
ResNet-18,image,8,high,Conv2d,14508490752,311798016,46.5317,0.2267,0.6090,0.6090,memory
ResNet-18,image,8,high,BatchNorm2d,79488384,79517224,0.9996,0.0012,0.1553,0.1553,memory
ResNet-18,image,8,high,ReLU,18464768,73859072,0.2500,0.0003,0.1443,0.1443,memory
ResNet-18,image,8,high,MaxPool2d,14450688,16056320,0.9000,0.0002,0.0314,0.0314,memory
ResNet-18,image,8,high,AdaptiveAvgPool2d,204800,409600,0.5000,0.0000,0.0008,0.0008,memory
ResNet-18,image,8,high,Linear,4104000,1048192,3.9153,0.0001,0.0020,0.0020,memory
ResNet-34,image,1,edge,Conv2d,3663249408,106286336,34.4659,1.8316,6.6429,6.6429,memory
ResNet-34,image,1,edge,BatchNorm2d,14969472,15020616,0.9966,0.0075,0.9388,0.9388,memory
ResNet-34,image,1,edge,ReLU,3562496,14249984,0.2500,0.0018,0.8906,0.8906,memory
ResNet-34,image,1,edge,MaxPool2d,1806336,2007040,0.9000,0.0009,0.1254,0.1254,memory
ResNet-34,image,1,edge,AdaptiveAvgPool2d,25600,51200,0.5000,0.0000,0.0032,0.0032,memory
ResNet-34,image,1,edge,Linear,513000,1028048,0.4990,0.0003,0.0643,0.0643,memory
ResNet-34,image,1,mid,Conv2d,3663249408,103004032,35.5641,0.2290,0.8047,0.8047,memory
ResNet-34,image,1,mid,BatchNorm2d,14969472,15020616,0.9966,0.0009,0.1173,0.1173,memory
ResNet-34,image,1,mid,ReLU,3562496,14249984,0.2500,0.0002,0.1113,0.1113,memory
ResNet-34,image,1,mid,MaxPool2d,1806336,2007040,0.9000,0.0001,0.0157,0.0157,memory
ResNet-34,image,1,mid,AdaptiveAvgPool2d,25600,51200,0.5000,0.0000,0.0004,0.0004,memory
ResNet-34,image,1,mid,Linear,513000,1027024,0.4995,0.0000,0.0080,0.0080,memory
ResNet-34,image,1,high,Conv2d,3663249408,103004032,35.5641,0.0572,0.2012,0.2012,memory
ResNet-34,image,1,high,BatchNorm2d,14969472,15020616,0.9966,0.0002,0.0293,0.0293,memory
ResNet-34,image,1,high,ReLU,3562496,14249984,0.2500,0.0001,0.0278,0.0278,memory
ResNet-34,image,1,high,MaxPool2d,1806336,2007040,0.9000,0.0000,0.0039,0.0039,memory
ResNet-34,image,1,high,AdaptiveAvgPool2d,25600,51200,0.5000,0.0000,0.0001,0.0001,memory
ResNet-34,image,1,high,Linear,513000,1027024,0.4995,0.0000,0.0020,0.0020,memory
ResNet-34,image,8,edge,Conv2d,29305995264,580728960,50.4642,14.6530,36.2956,36.2956,memory
ResNet-34,image,8,edge,BatchNorm2d,119636608,119687752,0.9996,0.0598,7.4805,7.4805,memory
ResNet-34,image,8,edge,ReLU,28499968,113999872,0.2500,0.0142,7.1250,7.1250,memory
ResNet-34,image,8,edge,MaxPool2d,14450688,16056320,0.9000,0.0072,1.0035,1.0035,memory
ResNet-34,image,8,edge,AdaptiveAvgPool2d,204800,409600,0.5000,0.0001,0.0256,0.0256,memory
ResNet-34,image,8,edge,Linear,4104000,1056384,3.8850,0.0021,0.0660,0.0660,memory
ResNet-34,image,8,mid,Conv2d,29305995264,549366016,53.3451,1.8316,4.2919,4.2919,memory
ResNet-34,image,8,mid,BatchNorm2d,119636608,119687752,0.9996,0.0075,0.9351,0.9351,memory
ResNet-34,image,8,mid,ReLU,28499968,113999872,0.2500,0.0018,0.8906,0.8906,memory
ResNet-34,image,8,mid,MaxPool2d,14450688,16056320,0.9000,0.0009,0.1254,0.1254,memory
ResNet-34,image,8,mid,AdaptiveAvgPool2d,204800,409600,0.5000,0.0000,0.0032,0.0032,memory
ResNet-34,image,8,mid,Linear,4104000,1048192,3.9153,0.0003,0.0082,0.0082,memory
ResNet-34,image,8,high,Conv2d,29305995264,549366016,53.3451,0.4579,1.0730,1.0730,memory
ResNet-34,image,8,high,BatchNorm2d,119636608,119687752,0.9996,0.0019,0.2338,0.2338,memory
ResNet-34,image,8,high,ReLU,28499968,113999872,0.2500,0.0004,0.2227,0.2227,memory
ResNet-34,image,8,high,MaxPool2d,14450688,16056320,0.9000,0.0002,0.0314,0.0314,memory
ResNet-34,image,8,high,AdaptiveAvgPool2d,204800,409600,0.5000,0.0000,0.0008,0.0008,memory
ResNet-34,image,8,high,Linear,4104000,1048192,3.9153,0.0001,0.0020,0.0020,memory
ResNet-50,image,1,edge,Conv2d,4087136256,118977792,34.3521,2.0436,7.4361,7.4361,memory
ResNet-50,image,1,edge,BatchNorm2d,44509056,44668522,0.9964,0.0223,2.7918,2.7918,memory
ResNet-50,image,1,edge,ReLU,9608704,38434816,0.2500,0.0048,2.4022,2.4022,memory
