model,scheme,metric,value,delta,samples,weight_bytes,kv_bytes_per_token,quant_ops_per_token,macs_per_token
GPT-2,fp32,perplexity,26.6303,0.0000,4607,248879616,36864,0,124100644
GPT-2,W8,perplexity,26.6129,-0.0175,4607,164110848,36864,0,124100644
GPT-2,W4,perplexity,31.6343,5.0039,4607,122804736,36864,0,124100644
GPT-2,A8,perplexity,26.8157,0.1853,4607,248879616,36864,258048,124100644
GPT-2,W8A8,perplexity,26.8348,0.2045,4607,164110848,36864,258048,124100644
GPT-2,W4A8,perplexity,32.0328,5.4024,4607,122804736,36864,258048,124100644
GPT-2,KV8,perplexity,26.6393,0.0089,4607,248879616,19008,73728,124100644
GPT-2,KV4,perplexity,28.6658,2.0355,4607,248879616,9792,73728,124100644
GPT-2,W4A8KV4,perplexity,37.7723,11.1420,4607,122804736,9792,331776,124100644
